Name,Abbr Name,subcategory,Field,JIF5Years,Threshold
VIRGINIA LAW REVIEW,VA LAW REV,LAW,Mathematics,2.5,0.7
VANDERBILT LAW REVIEW,VANDERBILT LAW REV,LAW,Mathematics,2.1,0.7
Journal of Differential Equations,J DIFFER EQUATIONS,MATHEMATICS,Mathematics,2.6,0.7
Language Culture and Curriculum,LANG CULT CURRIC,LINGUISTICS,Computer Science,2.7,0.8
Review of Research in Education,REV RES EDUC,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,8.6,0.7
GEOMETRIC AND FUNCTIONAL ANALYSIS,GEOM FUNCT ANAL,MATHEMATICS,Mathematics,2.7,0.7
LAW AND HUMAN BEHAVIOR,LAW HUMAN BEHAV,"PSYCHOLOGY, SOCIAL",Medicine,3.1,1.0
Annual Review of Law and Social Science,ANNU REV LAW SOC SCI,SOCIOLOGY,Mathematics,3.5,0.7
Journal of Consumer Culture,J CONSUM CULT,SOCIOLOGY,Mathematics,2.7,0.7
JOURNAL OF LEARNING DISABILITIES,J LEARN DISABIL-US,REHABILITATION,Medicine,3.6,1.0
Journal of Applied Mathematics and Computing,J APPL MATH COMPUT,"MATHEMATICS, APPLIED",Mathematics,2.3,0.7
Games and Culture,GAMES CULT,CULTURAL STUDIES,Environmental Science,2.6,0.5
EDUCATIONAL ADMINISTRATION QUARTERLY,EDUC ADMIN QUART,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,4.2,0.7
Journal of Current Southeast Asian Affairs,J CURR SE ASIAN AFF,POLITICAL SCIENCE,Mathematics,,0.7
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,EDUC EVAL POLICY AN,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,3.7,0.7
Annals of PDE,ANN PDE,"PHYSICS, MATHEMATICAL",Physics,,1.0
Contemporary Educational Technology,CONTEMP EDUC TECHNOL,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,,0.7
BRITISH JOURNAL OF CRIMINOLOGY,BRIT J CRIMINOL,CRIMINOLOGY & PENOLOGY,Mathematics,2.7,0.7
TEACHING IN HIGHER EDUCATION,TEACH HIGH EDUC,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,3.1,0.7
International Journal of Leadership in Education,INT J LEADERSH EDUC,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,2.5,0.7
Journal of the American Board of Family Medicine,J AM BOARD FAM MED,PRIMARY HEALTH CARE,Medicine,2.6,1.0
Vertebrate Zoology,VERTEBR ZOOL,ZOOLOGY,Biology,1.9,1.0
Journal of Lower Genital Tract Disease,J LOW GENIT TRACT DI,OBSTETRICS & GYNECOLOGY,Medicine,2.9,1.0
JOURNAL OF NURSING SCHOLARSHIP,J NURS SCHOLARSHIP,NURSING,Medicine,3.6,1.0
CHILDREN AND YOUTH SERVICES REVIEW,CHILD YOUTH SERV REV,SOCIAL WORK,Medicine,3.0,1.0
INTERNATIONAL STUDIES QUARTERLY,INT STUD QUART,POLITICAL SCIENCE,Mathematics,3.4,0.7
DISASTERS,DISASTERS,"SOCIAL SCIENCES, INTERDISCIPLINARY",Mathematics,3.1,0.7
JOURNAL OF PUBLIC AFFAIRS EDUCATION,J PUBLIC AFF EDUC,PUBLIC ADMINISTRATION,Mathematics,2.4,0.7
SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,SURG ENDOSC,SURGERY,Medicine,3.1,1.0
Race Ethnicity and Education,RACE ETHNIC EDUC-UK,ETHNIC STUDIES,Environmental Science,3.7,0.5
Electronic Journal of e-Learning,ELECTRON J E-LEARN,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,2.7,0.7
Journal of Occupational Science,J OCCUP SCI,"SOCIAL SCIENCES, INTERDISCIPLINARY",Mathematics,2.0,0.7
Convergence-The International Journal of Research into New Media Technologies,CONVERGENCE-US,COMMUNICATION,Computer Science,2.7,0.8
PARTY POLITICS,PARTY POLIT,POLITICAL SCIENCE,Mathematics,2.7,0.7
Psychology of Violence,PSYCHOL VIOLENCE,"PSYCHOLOGY, CLINICAL",Medicine,3.9,1.0
SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,SOCIOLOGY,SOCIOLOGY,Mathematics,3.7,0.7
Journal of Chinese Governance,J CHIN GOV,PUBLIC ADMINISTRATION,Mathematics,2.3,0.7
Journal of Nursing Research,J NURS RES,NURSING,Medicine,2.5,1.0
EQUINE VETERINARY JOURNAL,EQUINE VET J,VETERINARY SCIENCES,Medicine,2.4,1.0
Journal of Tissue Viability,J TISSUE VIABILITY,NURSING,Medicine,2.9,1.0
Nonlinear Engineering - Modeling and Application,NONLINEAR ENG-MODEL,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",Mathematics,,0.7
Head & Face Medicine,HEAD FACE MED,"DENTISTRY, ORAL SURGERY & MEDICINE",Medicine,2.9,1.0
International Journal of Intercultural Relations,INT J INTERCULT REL,SOCIOLOGY,Mathematics,2.7,0.7
Journal of Exercise Science & Fitness,J EXERC SCI FIT,SPORT SCIENCES,Medicine,2.8,1.0
Animal Bioscience,ANIM BIOSCI,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Biology,2.4,1.0
FOOT & ANKLE INTERNATIONAL,FOOT ANKLE INT,ORTHOPEDICS,Medicine,3.0,1.0
Nurse Educator,NURS EDUC,NURSING,Medicine,2.6,1.0
THERIOGENOLOGY,THERIOGENOLOGY,VETERINARY SCIENCES,Medicine,2.5,1.0
Journal of Pediatric Surgery,J PEDIATR SURG,SURGERY,Medicine,2.4,1.0
INDUSTRIAL RELATIONS,IND RELAT,INDUSTRIAL RELATIONS & LABOR,Mathematics,2.7,0.7
Sociological Methodology,SOCIOL METHODOL,SOCIOLOGY,Mathematics,4.1,0.7
European Educational Research Journal,EUR EDUC RES J,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,2.3,0.7
Nursing Reports,NURS REP,NURSING,Medicine,2.3,1.0
ACTA PAEDIATRICA,ACTA PAEDIATR,PEDIATRICS,Medicine,2.6,1.0
European Journal of Sport Science,EUR J SPORT SCI,SPORT SCIENCES,Medicine,3.2,1.0
JOURNAL OF HEAD TRAUMA REHABILITATION,J HEAD TRAUMA REHAB,REHABILITATION,Medicine,2.7,1.0
Journal of Sports Science and Medicine,J SPORT SCI MED,SPORT SCIENCES,Medicine,3.3,1.0
NURSING CLINICS OF NORTH AMERICA,NURS CLIN N AM,NURSING,Medicine,2.4,1.0
APPLIED PSYCHOLINGUISTICS,APPL PSYCHOLINGUIST,"PSYCHOLOGY, EXPERIMENTAL",Medicine,2.3,1.0
Asian American Journal of Psychology,ASIAN AM J PSYCHOL,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,2.6,1.0
VETERINARY MICROBIOLOGY,VET MICROBIOL,VETERINARY SCIENCES,Medicine,2.6,1.0
APIDOLOGIE,APIDOLOGIE,ENTOMOLOGY,Biology,2.5,1.0
CANCER NURSING,CANCER NURS,ONCOLOGY,Medicine,2.9,1.0
FAMILY PRACTICE,FAM PRACT,PRIMARY HEALTH CARE,Medicine,2.4,1.0
Journal of Integrated Pest Management,J INTEGR PEST MANAG,ENTOMOLOGY,Biology,3.3,1.0
CardioRenal Medicine,CARDIORENAL MED,UROLOGY & NEPHROLOGY,Medicine,2.3,1.0
Cyberpsychology-Journal of Psychosocial Research on Cyberspace,CYBERPSYCHOLOGY,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,3.3,1.0
Updates in Surgery,UPDATES SURG,SURGERY,Medicine,2.5,1.0
Evaluation,EVALUATION-US,"SOCIAL SCIENCES, INTERDISCIPLINARY",Mathematics,2.3,0.7
Forests,FORESTS,FORESTRY,Environmental Science,2.7,0.5
Journal of Perinatology,J PERINATOL,PEDIATRICS,Medicine,2.7,1.0
POLYHEDRON,POLYHEDRON,CRYSTALLOGRAPHY,Chemistry,2.1,1.5
GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,GRAEF ARCH CLIN EXP,OPHTHALMOLOGY,Medicine,2.7,1.0
JOURNAL OF HOMOSEXUALITY,J HOMOSEXUAL,"SOCIAL SCIENCES, INTERDISCIPLINARY",Mathematics,2.8,0.7
Journal of Marketing for Higher Education,J MARK HIGH EDUC,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,3.5,0.7
Asia-Pacific Journal of Oncology Nursing,ASIA-PAC J ONCOL NUR,NURSING,Medicine,2.7,1.0
DISCOURSE & SOCIETY,DISCOURSE SOC,SOCIOLOGY,Mathematics,2.4,0.7
Healthcare,HEALTHCARE-BASEL,HEALTH POLICY & SERVICES,Medicine,2.5,1.0
European Journal of Wood and Wood Products,EUR J WOOD WOOD PROD,"MATERIALS SCIENCE, PAPER & WOOD",Materials Science,2.4,1.5
SOCIAL & CULTURAL GEOGRAPHY,SOC CULT GEOGR,GEOGRAPHY,Environmental Science,2.6,0.5
Topics in Spinal Cord Injury Rehabilitation,TOP SPINAL CORD INJ,REHABILITATION,Medicine,2.4,1.0
BIOMETRIKA,BIOMETRIKA,STATISTICS & PROBABILITY,Mathematics,3.1,0.7
JOURNAL OF RAMAN SPECTROSCOPY,J RAMAN SPECTROSC,SPECTROSCOPY,Chemistry,2.7,1.5
Orthodontics & Craniofacial Research,ORTHOD CRANIOFAC RES,"DENTISTRY, ORAL SURGERY & MEDICINE",Medicine,2.7,1.0
SoftwareX,SOFTWAREX,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",Computer Science,3.1,0.8
Basic and Clinical Andrology,BASIC CLIN ANDROL,ANDROLOGY,Medicine,2.6,1.0
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,JARO-J ASSOC RES OTO,OTORHINOLARYNGOLOGY,Medicine,2.4,1.0
Gesunde Pflanzen,GESUNDE PFLANZ,AGRONOMY,Biology,2.4,1.0
NEUROLOGIA MEDICO-CHIRURGICA,NEUROL MED-CHIR,SURGERY,Medicine,2.2,1.0
Physical and Engineering Sciences in Medicine,PHYS ENG SCI MED,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Medicine,3.3,1.0
Applied Physiology Nutrition and Metabolism,APPL PHYSIOL NUTR ME,SPORT SCIENCES,Medicine,2.8,1.0
Current Bioinformatics,CURR BIOINFORM,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Mathematics,1.8,0.7
Molecular and Cellular Pediatrics,MOL CELL PEDIATR,PEDIATRICS,Medicine,,1.0
Orthopaedic Journal of Sports Medicine,ORTHOP J SPORTS MED,SPORT SCIENCES,Medicine,2.8,1.0
FISHERIES,FISHERIES,FISHERIES,Biology,2.7,1.0
AMERICAN NATURALIST,AM NAT,EVOLUTIONARY BIOLOGY,Biology,3.0,1.0
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,INT J BEHAV DEV,"PSYCHOLOGY, DEVELOPMENTAL",Medicine,3.3,1.0
Journal of Patient-Reported Outcomes,J PATIENT-REP OUTCOM,HEALTH POLICY & SERVICES,Medicine,3.1,1.0
BMC Womens Health,BMC WOMENS HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,2.9,1.0
City & Community,CITY COMMUNITY,URBAN STUDIES,Environmental Science,3.1,0.5
HEART & LUNG,HEART LUNG,RESPIRATORY SYSTEM,Medicine,2.4,1.0
Journal of Institutional Economics,J I ECON,ECONOMICS,Mathematics,2.4,0.7
Current Transplantation Reports,CURR TRANSPLANT REP,TRANSPLANTATION,Medicine,,1.0
Ultrasonography,ULTRASONOGRAPHY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Medicine,2.7,1.0
Diagnostic Pathology,DIAGN PATHOL,PATHOLOGY,Medicine,2.6,1.0
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,J PEDIATR GASTR NUTR,PEDIATRICS,Medicine,2.7,1.0
Journal of Studies on Alcohol and Drugs,J STUD ALCOHOL DRUGS,SUBSTANCE ABUSE,Medicine,2.7,1.0
Journal of Work and Organizational Psychology-Revista de Psicologia del Trabajo y de las Organizaciones,J WORK ORGAN PSYCHOL,"PSYCHOLOGY, APPLIED",Medicine,3.1,1.0
PHYSIOLOGY & BEHAVIOR,PHYSIOL BEHAV,"PSYCHOLOGY, BIOLOGICAL",Medicine,2.9,1.0
Zoonoses and Public Health,ZOONOSES PUBLIC HLTH,VETERINARY SCIENCES,Medicine,2.5,1.0
EuroChoices,EUROCHOICES,AGRICULTURAL ECONOMICS & POLICY,Environmental Science,2.5,0.5
Health Services Insights,HEALTH SERV INSIGHTS,HEALTH CARE SCIENCES & SERVICES,Medicine,2.6,1.0
Journal of Agribusiness in Developing and Emerging Economies,J AGRIBUS DEV EMERG,ECONOMICS,Mathematics,2.5,0.7
JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,J CROSS CULT PSYCHOL,"PSYCHOLOGY, SOCIAL",Medicine,3.2,1.0
MEDICAL CARE RESEARCH AND REVIEW,MED CARE RES REV,HEALTH POLICY & SERVICES,Medicine,2.8,1.0
Journal of Mining Institute,J MIN INST,MINING & MINERAL PROCESSING,Engineering,1.8,1.5
FUNGAL GENETICS AND BIOLOGY,FUNGAL GENET BIOL,MYCOLOGY,Biology,3.0,1.0
Medicina del Lavoro,MED LAV,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,2.1,1.0
DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,DRUG DEV IND PHARM,PHARMACOLOGY & PHARMACY,Medicine,3.3,1.0
GENES BRAIN AND BEHAVIOR,GENES BRAIN BEHAV,NEUROSCIENCES,Biology,2.9,1.0
Journal of Agrarian Change,J AGRAR CHANGE,ECONOMICS,Mathematics,2.4,0.7
MALARIA JOURNAL,MALARIA J,TROPICAL MEDICINE,Medicine,2.6,1.0
ULTRASOUND IN MEDICINE AND BIOLOGY,ULTRASOUND MED BIOL,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Medicine,2.9,1.0
UROLOGIC CLINICS OF NORTH AMERICA,UROL CLIN N AM,UROLOGY & NEPHROLOGY,Medicine,2.4,1.0
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,EXP CLIN PSYCHOPHARM,"PSYCHOLOGY, CLINICAL",Medicine,2.4,1.0
GEBURTSHILFE UND FRAUENHEILKUNDE,GEBURTSH FRAUENHEILK,OBSTETRICS & GYNECOLOGY,Medicine,2.3,1.0
International Journal of Biomathematics,INT J BIOMATH,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Mathematics,1.9,0.7
PSYCHOLOGY & HEALTH,PSYCHOL HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,3.2,1.0
CANADIAN FAMILY PHYSICIAN,CAN FAM PHYSICIAN,PRIMARY HEALTH CARE,Medicine,3.5,1.0
JOURNAL OF GAMBLING STUDIES,J GAMBL STUD,SUBSTANCE ABUSE,Medicine,2.7,1.0
Materials Testing,MATER TEST,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",Materials Science,1.8,1.5
AMERICAN JOURNAL OF BOTANY,AM J BOT,PLANT SCIENCES,Biology,3.2,1.0
Brain Connectivity,BRAIN CONNECT,NEUROSCIENCES,Biology,2.5,1.0
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,CANCER BIOTHER RADIO,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Medicine,2.6,1.0
Frontiers in Insect Science,FRONT INSECT SCI,ENTOMOLOGY,Biology,2.4,1.0
Health Psychology and Behavioral Medicine,HEALTH PSYCHOL BEHAV,"PSYCHOLOGY, CLINICAL",Medicine,3.2,1.0
Journal of Immunotoxicology,J IMMUNOTOXICOL,TOXICOLOGY,Medicine,2.8,1.0
JOURNAL OF TRAUMATIC STRESS,J TRAUMA STRESS,"PSYCHOLOGY, CLINICAL",Medicine,3.9,1.0
OCCUPATIONAL MEDICINE-OXFORD,OCCUP MED-OXFORD,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,2.8,1.0
URBAN AFFAIRS REVIEW,URBAN AFF REV,URBAN STUDIES,Environmental Science,2.7,0.5
ZFW-Advances in Economic Geography,ZFW-ADV ECON GEOGR,GEOGRAPHY,Environmental Science,2.4,0.5
Blood Transfusion,BLOOD TRANSFUS-ITALY,HEMATOLOGY,Medicine,3.1,1.0
CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,CLIN EXP PHARMACOL P,PHYSIOLOGY,Biology,2.4,1.0
Clinical Neuroradiology,CLIN NEURORADIOL,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Medicine,2.5,1.0
Eating Behaviors,EAT BEHAV,"PSYCHOLOGY, CLINICAL",Medicine,2.7,1.0
JOURNAL OF GREAT LAKES RESEARCH,J GREAT LAKES RES,MARINE & FRESHWATER BIOLOGY,Biology,2.6,1.0
Preventive Medicine Reports,PREV MED REP,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,,1.0
Psychology & Sexuality,PSYCHOL SEX,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,3.2,1.0
UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS,UROL ONCOL-SEMIN ORI,UROLOGY & NEPHROLOGY,Medicine,2.5,1.0
Animal Biotelemetry,ANIM BIOTELEM,MARINE & FRESHWATER BIOLOGY,Biology,,1.0
COMMUNICATIONS IN THEORETICAL PHYSICS,COMMUN THEOR PHYS,"PHYSICS, MULTIDISCIPLINARY",Physics,1.9,1.0
Crystals,CRYSTALS,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,2.4,1.5
International Journal of Fruit Science,INT J FRUIT SCI,HORTICULTURE,Biology,2.5,1.0
JOURNAL OF BIOMOLECULAR NMR,J BIOMOL NMR,SPECTROSCOPY,Chemistry,2.1,1.5
JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,J MANUF SCI E-T ASME,"ENGINEERING, MECHANICAL",Engineering,3.0,1.5
Neuro-Oncology Practice,NEURO-ONCOL PRACT,CLINICAL NEUROLOGY,Medicine,2.4,1.0
Aslib Journal of Information Management,ASLIB J INFORM MANAG,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science,2.5,0.8
International Journal of Software Science and Computational Intelligence-IJSSCI,INT J SOFTW SCI COMP,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",Computer Science,,0.8
SPEECH COMMUNICATION,SPEECH COMMUN,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Computer Science,2.3,0.8
Zeitschrift fur Medizinische Physik,Z MED PHYS,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Medicine,3.5,1.0
Transforming Government- People Process and Policy,TRANSFORM GOV-PEOPLE,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science,2.5,0.8
Information,INFORMATION,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Computer Science,2.6,0.8
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,INT J GEN SYST,"COMPUTER SCIENCE, THEORY & METHODS",Computer Science,2.1,0.8
JOURNAL OF SYNCHROTRON RADIATION,J SYNCHROTRON RADIAT,"PHYSICS, APPLIED",Physics,2.5,1.0
LIBRARY & INFORMATION SCIENCE RESEARCH,LIBR INFORM SCI RES,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science,2.7,0.8
Revista Iberoamericana de Psicologia y Salud,REV IBEROAM PSICOL S,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,2.1,1.0
Surgical Oncology Clinics of North America,SURG ONCOL CLIN N AM,SURGERY,Medicine,2.8,1.0
ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,PLANT SCIENCES,Biology,2.8,1.0
Brain Imaging and Behavior,BRAIN IMAGING BEHAV,NEUROIMAGING,Medicine,2.9,1.0
Current Dermatology Reports,CURR DERMATOL REP,DERMATOLOGY,Medicine,2.3,1.0
Environment and Planning C-Politics and Space,ENVIRON PLAN C-POLIT,REGIONAL & URBAN PLANNING,Environmental Science,3.1,0.5
Health Promotion Perspectives,HEALTH PROMOT PERSPE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,3.0,1.0
Respiratory Investigation,RESPIR INVESTIG,RESPIRATORY SYSTEM,Medicine,2.4,1.0
Dementia-International Journal of Social Research and Practice,DEMENTIA-LONDON,GERONTOLOGY,Medicine,2.6,1.0
Geriatrics & Gerontology International,GERIATR GERONTOL INT,GERONTOLOGY,Medicine,3.1,1.0
International Journal of Information Security,INT J INF SECUR,"COMPUTER SCIENCE, THEORY & METHODS",Computer Science,2.5,0.8
International Journal of Workplace Health Management,INT J WORKPLACE HEAL,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,2.1,1.0
Journal of Chinese Economic and Business Studies,J CHIN ECON BUS STUD,ECONOMICS,Mathematics,1.9,0.7
NEURORADIOLOGY,NEURORADIOLOGY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Medicine,2.6,1.0
NUTRIENT CYCLING IN AGROECOSYSTEMS,NUTR CYCL AGROECOSYS,SOIL SCIENCE,Environmental Science,3.5,0.5
PHYSICS OF THE EARTH AND PLANETARY INTERIORS,PHYS EARTH PLANET IN,GEOCHEMISTRY & GEOPHYSICS,Geology,2.3,0.8
Tropical Diseases Travel Medicine and Vaccines,TROP DIS TRAVEL MED,TROPICAL MEDICINE,Medicine,2.5,1.0
Australasian Journal of Water Resources,AUSTRALAS J WAT RESO,WATER RESOURCES,Environmental Science,2.8,0.5
BMJ Open,BMJ OPEN,"MEDICINE, GENERAL & INTERNAL",Medicine,2.7,1.0
HIPPOCAMPUS,HIPPOCAMPUS,NEUROSCIENCES,Biology,3.3,1.0
JOURNAL OF CLINICAL PHARMACOLOGY,J CLIN PHARMACOL,PHARMACOLOGY & PHARMACY,Medicine,2.6,1.0
JOURNAL OF ECOTOURISM,J ECOTOURISM,"HOSPITALITY, LEISURE, SPORT & TOURISM",Environmental Science,,0.5
JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,J NEUROPSYCH CLIN N,PSYCHIATRY,Medicine,2.8,1.0
Frontiers in Ecology and Evolution,FRONT ECOL EVOL,ECOLOGY,Environmental Science,3.1,0.5
Frontiers in Human Neuroscience,FRONT HUM NEUROSCI,PSYCHOLOGY,Medicine,3.0,1.0
HYDROGEOLOGY JOURNAL,HYDROGEOL J,WATER RESOURCES,Environmental Science,2.9,0.5
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,J VOLCANOL GEOTH RES,"GEOSCIENCES, MULTIDISCIPLINARY",Geology,2.6,0.8
Medicina-Lithuania,MEDICINA-LITHUANIA,"MEDICINE, GENERAL & INTERNAL",Medicine,2.7,1.0
PEDIATRIC BLOOD & CANCER,PEDIATR BLOOD CANCER,PEDIATRICS,Medicine,2.9,1.0
I-Perception,I-PERCEPTION,"PSYCHOLOGY, EXPERIMENTAL",Medicine,1.8,1.0
NEPHROLOGY,NEPHROLOGY,UROLOGY & NEPHROLOGY,Medicine,2.4,1.0
Asian Journal of Urology,ASIAN J UROL,UROLOGY & NEPHROLOGY,Medicine,2.7,1.0
BMC NEUROSCIENCE,BMC NEUROSCI,NEUROSCIENCES,Biology,2.9,1.0
Cancer Epidemiology,CANCER EPIDEMIOL,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,2.7,1.0
Clothing and Textiles Research Journal,CLOTH TEXT RES J,"SOCIAL SCIENCES, INTERDISCIPLINARY",Mathematics,2.2,0.7
International Journal of Clinical Oncology,INT J CLIN ONCOL,ONCOLOGY,Medicine,2.8,1.0
JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,JCR-J CLIN RHEUMATOL,RHEUMATOLOGY,Medicine,2.3,1.0
Journal of Hospital Medicine,J HOSP MED,"MEDICINE, GENERAL & INTERNAL",Medicine,2.6,1.0
NEUROLOGIC CLINICS,NEUROL CLIN,NEUROSCIENCES,Biology,3.4,1.0
Pharmacy Practice-Granada,PHARM PRACT-GRANADA,PHARMACOLOGY & PHARMACY,Medicine,2.5,1.0
Clinical Psychopharmacology and Neuroscience,CLIN PSYCHOPHARM NEU,PHARMACOLOGY & PHARMACY,Medicine,2.8,1.0
Data-Centric Engineering,DATA-CENTRIC ENG,"ENGINEERING, MULTIDISCIPLINARY",Engineering,3.0,1.5
INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH,INT J METH PSYCH RES,PSYCHIATRY,Medicine,4.0,1.0
Journal of Cardiovascular Translational Research,J CARDIOVASC TRANSL,"MEDICINE, RESEARCH & EXPERIMENTAL",Medicine,2.9,1.0
MONTHLY LABOR REVIEW,MON LABOR REV,INDUSTRIAL RELATIONS & LABOR,Mathematics,2.1,0.7
NEUROSCIENCE RESEARCH,NEUROSCI RES,NEUROSCIENCES,Biology,2.6,1.0
Pacific Asia Journal of the Association for Information Systems,PAC ASIA J ASSOC INF,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science,2.1,0.8
POLYCYCLIC AROMATIC COMPOUNDS,POLYCYCL AROMAT COMP,"CHEMISTRY, ORGANIC",Chemistry,2.5,1.5
SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,SOIL SCI SOC AM J,SOIL SCIENCE,Environmental Science,2.8,0.5
Accounting Research Journal,ACCOUNT RES J,"BUSINESS, FINANCE",Mathematics,2.3,0.7
Case Studies on Transport Policy,CASE STUD TRANSP POL,TRANSPORTATION,Engineering,2.5,1.5
Geosciences,GEOSCIENCES,"GEOSCIENCES, MULTIDISCIPLINARY",Geology,2.6,0.8
IEEE Transactions on Molecular Biological and Multi-Scale Communications,IEEE T MOL BIO MULT,TELECOMMUNICATIONS,Engineering,,1.5
BOREAS,BOREAS,"GEOSCIENCES, MULTIDISCIPLINARY",Geology,2.0,0.8
CLINICAL CARDIOLOGY,CLIN CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,Medicine,2.7,1.0
ECOTOXICOLOGY,ECOTOXICOLOGY,TOXICOLOGY,Medicine,2.7,1.0
EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,EUR J CLIN PHARMACOL,PHARMACOLOGY & PHARMACY,Medicine,2.5,1.0
International Journal of Rheumatic Diseases,INT J RHEUM DIS,RHEUMATOLOGY,Medicine,2.5,1.0
JOURNAL OF BONE AND MINERAL METABOLISM,J BONE MINER METAB,"MEDICINE, RESEARCH & EXPERIMENTAL",Medicine,2.7,1.0
Journal of Cardiovascular Development and Disease,J CARDIOVASC DEV DIS,CARDIAC & CARDIOVASCULAR SYSTEMS,Medicine,2.6,1.0
PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,PHARMACOEPIDEM DR S,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,2.6,1.0
PharmaNutrition,PHARMANUTRITION,PHARMACOLOGY & PHARMACY,Medicine,2.3,1.0
Wellbeing Space and Society,WELLBEING SPACE SOC,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,2.4,1.0
Acupuncture in Medicine,ACUPUNCT MED,INTEGRATIVE & COMPLEMENTARY MEDICINE,Medicine,2.4,1.0
International Journal of Organizational Analysis,INT J ORGAN ANAL,MANAGEMENT,Mathematics,2.8,0.7
LIQUID CRYSTALS,LIQ CRYST,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,2.0,1.5
