No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,Unnamed: 11,first publication date,second publication date,first publication number,second publication number,family_jurisdictions,family_members
389,SYSTEMS AND METHODS FOR OPTIMIZING COOPERATIVE ACTIONS AMONG HETEROGENEOUS AUTONOMOUS CONNECTED MACHINES,WUNDERLICH KARL ERIC [US],NOBLIS INC [US],"US11283874B2 
US2020014759A1",2018-07-09,"H04L29/08 
G05D1/00 
G05D1/02 
H04L67/12","G01C21/34 (EP) 
G01C21/3841 (EP,US) 
G05D1/0088 (US) 
G05D1/0291 (US) 
G05D1/0297 (EP) 
G06Q10/047 (EP) 
G06Q10/063 (EP) 
G06Q10/0635 (EP) 
G06Q10/20 (EP) 
G06Q50/40 (EP) 
G08G1/20 (EP) 
H04L67/12 (US)","2020-01-09 
2022-03-22",2020-01-09,67480301,,2020-01-09,2022-03-22,US11283874B2,"
US2020014759A1","['US', 'WO']","['US11283874B2', 'US2020014759A1', 'WO2020014122A1']"
390,Autonomous container transportation,"DENIS SVERDLOV [GB] 
GLENN SAINT [GB]",ARRIVAL LTD [GB],"GB2558518A 
GB2558518B",2016-05-31,"B60L11/00 
B60P1/00 
B66F9/06 
B60L50/00","B60L50/00 (GB) 
B60P1/00 (GB) 
B62D53/0864 (EP) 
B66F3/46 (EP) 
B66F9/06 (GB) 
B66F9/063 (EP,GB) 
B66F9/0755 (EP) 
B66F9/07559 (EP) 
B66F9/07572 (EP) 
B66F9/186 (EP) 
G05D1/0225 (EP) 
G05D1/024 (EP)","2018-07-18 
2021-09-29",2017-12-07,56410800,,2018-07-18,2021-09-29,GB2558518A,"
GB2558518B",,
391,AUTONOMOUS VEHICLE PATH PREDICTION SYSTEM AND AUTONOMOUS VEHICLE PATH PREDICTION METHOD WHILE ENCOUNTERING EMERGENCY VEHICLE,"LI YU-FENG [TW] 
LIN YU-HENG [TW] 
YING YU-HSUAN [TW]",IND TECH RES INST [TW],US2024182079A1,2022-12-01,B60W60/00,"B60W30/0956 (EP) 
B60W60/0027 (EP,US) 
G01C21/3407 (CN) 
G08G1/0965 (EP) 
G08G1/162 (EP) 
B60W2554/402 (US) 
B60W2555/60 (US) 
B60W2555/80 (US) 
B60W2556/45 (US) 
B60W60/0015 (EP,US)",2024-06-06,2024-04-11,84541614,,2024-06-06,,US2024182079A1,,"['CN', 'EP', 'TW', 'US']","['CN118129774A', 'EP4379695A1', 'TW202423744A', 'TWI838994B', 'US2024182079A1']"
392,DRIVING CONTROL METHOD BY FORMING CLUSTER GROUP OF AUTONOMOUS DRIVING VEHICLES,HAMADA KAZUYUKI,"HYUNDAI MOTOR COMPANY CO LTD 
KIA CORP","JP2021189653A 
JP7573993B2",2020-05-28,"B60W30/09 
G08G1/09 
G08G1/16","B60W30/08 (KR,US) 
B60W30/09 (CN,US) 
B60W30/095 (US) 
B60W40/02 (KR) 
B60W40/09 (US) 
B60W60/001 (CN) 
B60W60/0015 (EP,KR,US) 
B60W60/0017 (US) 
B60W60/0027 (US) 
B60W60/007 (KR,US) 
G05D1/0287 (US) 
G05D1/0289 (US) 
G08G1/16 (US) 
G08G1/161 (US) 
G08G1/162 (US) 
G08G1/163 (US) 
G08G1/166 (US) 
G08G1/22 (US) 
H04L67/12 (EP) 
H04W4/46 (EP,US) 
H04W4/90 (EP) 
B60W2554/4042 (KR) 
B60W2556/65 (EP,CN) 
B60Y2300/08 (KR)","2021-12-13 
2024-10-28",2021-12-02,78707182,,2021-12-13,2024-10-28,JP2021189653A,"
JP7573993B2","['CN', 'JP', 'KR', 'US']","['CN113734158A', 'JP2021189653A', 'JP7573993B2', 'KR20210147827A', 'US2021370973A1']"
393,LANE LINE CREATION FOR HIGH DEFINITION MAPS FOR AUTONOMOUS VEHICLES,"WHEELER MARK DAMON [US] 
YANG LIN [US] 
PIAO DONGZHEN [US] 
ZHANG YU [US]",DEEPMAP INC [US],US2021172756A1,2016-12-30,"B60W40/04 
G01C21/32 
G01C21/36 
G05D1/00 
G06T17/00 
G06T17/05 
G06V10/34","B60W40/04 (US) 
G01C21/3635 (US) 
G01C21/3638 (EP,US) 
G01C21/3811 (EP) 
G01C21/3867 (EP,US) 
G05D1/0088 (US) 
G06T17/00 (EP,US) 
G06T17/05 (US) 
G06V10/34 (EP,US) 
G06V10/457 (EP,US) 
G06V20/582 (EP,US) 
G06V20/588 (EP,US) 
B60W2420/403 (US) 
B60W2420/408 (US)",2021-06-10,2018-07-05,62708911,,2021-06-10,,US2021172756A1,,"['CN', 'US', 'WO']","['CN110832279A', 'CN110832279B', 'CN110832348A', 'CN110832348B', 'CN110869981A', 'CN110869981B', 'CN111108342A', 'CN111108342B', 'CN111542860A', 'CN111542860B', 'US10222211B2', 'US10267634B2', 'US10267635B2', 'US10309777B2', 'US10309778B2', 'US10359518B2', 'US10401500B2', 'US10422639B2', 'US10527417B2', 'US10545029B2', 'US10598489B2', 'US10670416B2', 'US10837773B2', 'US10859395B2', 'US10962366B2', 'US11162788B2', 'US11209548B2', 'US11280609B2', 'US11754716B2', 'US12092742B2', 'US12223593B2', 'US2018188026A1', 'US2018188027A1', 'US2018188038A1', 'US2018188039A1', 'US2018188040A1', 'US2018188041A1', 'US2018188042A1', 'US2018188043A1', 'US2018188059A1', 'US2018188060A1', 'US2018188372A1', 'US2018189578A1', 'US2018190016A1', 'US2018192059A1', 'US2019277632A1', 'US2020116865A1', 'US2020225032A1', 'US2020284581A1', 'US2021172756A1', 'US2022205783A1', 'US2022373687A1', 'US2023393276A1', 'WO2018125938A1', 'WO2018125939A1', 'WO2018126067A1', 'WO2018126083A1', 'WO2018126228A1']"
394,Methods and Systems to Aid Autonomous Vehicles Driving Through a Lane Merge,FERGUSON DAVID I [US],GOOGLE INC [US],"US2014129073A1 
US9026300B2",2012-11-06,G05D1/00,"B60W30/12 (EP,CN,US) 
B60W30/18163 (EP,CN,US) 
B62D15/025 (EP,CN,US) 
B62D15/0255 (EP,CN,US) 
G05D1/00 (US) 
B60W2554/4041 (EP,CN,US) 
B60W2554/408 (EP) 
B60W2554/803 (EP,CN,US) 
B60W2554/804 (EP,CN,US) 
B60W2556/50 (EP,CN,US)","2014-05-08 
2015-05-05",2014-05-08,50623105,,2014-05-08,2015-05-05,US2014129073A1,"
US9026300B2","['CN', 'EP', 'US', 'WO']","['CN104870288A', 'CN104870288B', 'EP2917082A1', 'EP2917082A4', 'EP2917082B1', 'US2014129073A1', 'US9026300B2', 'WO2014074588A1']"
395,MODIFYING AUTONOMOUS VEHICLE DRIVING BY RECOGNIZING VEHICLE CHARACTERISTICS,HORII HIROSHI [US],VOLKSWAGEN AG [DE],"US2016068156A1 
US9731713B2",2014-09-10,"B60W30/00 
B60W30/095 
B60W30/18 
B60W40/04","B60W30/00 (US) 
B60W30/0956 (EP,US) 
B60W30/18163 (EP,US) 
B60W40/04 (EP,US)","2016-03-10 
2017-08-15",2016-03-10,54065165,,2016-03-10,2017-08-15,US2016068156A1,"
US9731713B2","['CN', 'EP', 'US']","['CN105404294A', 'EP2995519A1', 'EP2995519B1', 'US2016068156A1', 'US9731713B2']"
396,SYSTEM AND METHOD FOR DECISION MAKING FOR AUTONOMOUS VEHICLES,HANDELMAN AMIR [IL],"HANDELMAN AMIR [IL] 
LAKURUMA SYSTEMS LTD [IL]","US11868130B2 
US2020278677A1",2019-03-01,"G05D1/00 
G06F7/58 
G06N5/04 
H04W4/44","G05D1/0088 (US) 
G05D1/227 (US) 
G06F7/58 (US) 
G06F7/588 (EP) 
G06N5/04 (US) 
H04W4/44 (EP,US) 
G08G1/162 (EP) 
G08G1/164 (EP)","2020-09-03 
2024-01-09",2020-09-03,72237228,,2020-09-03,2024-01-09,US11868130B2,"
US2020278677A1",['US'],"['US11868130B2', 'US2020278677A1']"
397,SYSTEMS AND METHODS FOR UNPROTECTED LEFT TURNS IN HIGH TRAFFIC SITUATIONS IN AUTONOMOUS VEHICLES,HOLBEN RYAN [US],GM GLOBAL TECH OPERATIONS LLC [US],"US10198002B2 
US2018074502A1",2017-11-21,"G05D1/00 
G05D1/02 
B60W30/09 
G08G1/16","B60W30/09 (US) 
B60W30/18154 (EP) 
B60W60/0011 (EP) 
B60W60/00253 (US) 
B60W60/00276 (US) 
G05D1/0212 (US) 
G05D1/0257 (US) 
G05D1/0278 (US) 
B60W2050/0016 (EP) 
B60W2420/403 (US) 
B60W2420/408 (US) 
B60W2554/00 (EP) 
B60W2554/40 (US) 
B60W2555/60 (EP) 
B60W2556/40 (EP) 
B60W2556/45 (EP) 
B60W2556/50 (EP) 
G08G1/166 (EP,US)","2018-03-15 
2019-02-05",2018-03-15,61559933,,2018-03-15,2019-02-05,US10198002B2,"
US2018074502A1","['CN', 'DE', 'US']","['CN109817008A', 'CN109817008B', 'DE102018129066A1', 'DE102018129066B4', 'US10198002B2', 'US2018074502A1']"
398,AUTONOMOUS AERIAL VEHICLE SYSTEM,KANDASAMY DUSHAN [GB],KANDASAMY DUSHAN [GB],"US12266270B2 
US2021217318A1",2018-01-25,"B64C39/02 
G08G5/00","B64C39/024 (US) 
B64U10/20 (EP,GB,US) 
B64U30/24 (EP) 
B64U30/29 (GB,US) 
B64U30/297 (EP) 
B64U50/35 (EP) 
G05D1/0027 (EP) 
G05D1/0088 (GB) 
G05D1/104 (EP,GB) 
G08G5/26 (EP,US) 
G08G5/32 (EP,US) 
G08G5/55 (EP,US) 
G08G5/56 (EP,US) 
G08G5/57 (US) 
B64U2101/30 (EP,GB,US) 
B64U2201/10 (EP) 
B64U2201/104 (US) 
G08G5/57 (EP)","2021-07-15 
2025-04-01",2019-12-19,61558105,,2021-07-15,2025-04-01,US12266270B2,"
US2021217318A1",,
399,METHOD FOR AUTONOMOUS VEHICLE PARKING,"LAZIC NENAD [SE] 
ROTHOFF MARCUS NILS GUNNAR [SE] 
COELINGH ERIK [SE]",VOLVO CAR CORP [SE],US2017365170A1,2016-06-20,"B60W30/06 
G01C21/34 
G01C21/36 
G08G1/14 
G05D1/00","B60W30/06 (US) 
B62D15/0285 (EP,US) 
E04H6/426 (CN) 
G01C21/26 (US) 
G01C21/3461 (US) 
G01C21/3697 (US) 
G05D1/0287 (US) 
G08G1/096725 (EP,US) 
G08G1/096741 (EP,US) 
G08G1/096775 (EP,US) 
G08G1/141 (US) 
G08G1/143 (EP,CN,US) 
G08G1/146 (EP,CN,US) 
G08G1/22 (EP,US) 
B60W2300/34 (US) 
B60W2420/403 (US) 
B60W2420/408 (US) 
G01C21/20 (EP) 
G05D1/0088 (US)",2017-12-21,2017-12-21,56148210,,2017-12-21,,US2017365170A1,,"['CN', 'EP', 'US']","['CN107527516A', 'EP3261074A1', 'US2017365170A1']"
400,REAL-TIME OPTIMIZATION OF AUTONOMOUS VEHICLE ROUTES,KUBIE MARTIN [US],WING AVIATION LLC [US],"US11099583B2 
US2020356115A1",2019-05-10,"B64C39/02 
G01C21/20 
G05D1/00 
G05D1/10","G01C21/20 (EP,US) 
G05D1/0088 (US) 
G05D1/106 (US) 
G08G1/0112 (EP) 
G08G1/0129 (EP) 
G08G1/0141 (EP) 
G08G1/04 (EP) 
G08G1/096844 (EP) 
G08G5/21 (EP) 
G08G5/22 (EP) 
G08G5/26 (EP) 
G08G5/32 (EP) 
G08G5/34 (EP) 
G08G5/55 (EP) 
B64U2101/64 (EP,US) 
B64U2201/10 (US) 
G08G5/57 (EP)","2020-11-12 
2021-08-24",2020-11-12,73045765,,2020-11-12,2021-08-24,US11099583B2,"
US2020356115A1","['AU', 'CN', 'EP', 'US', 'WO']","['AU2020275699A1', 'AU2020275699B2', 'CN113811832A', 'CN113811832B', 'EP3938857A1', 'EP3938857A4', 'US11099583B2', 'US2020356115A1', 'WO2020231591A1']"
401,AUTONOMOUS VEHICLE EMERGENCY OPERATING MODE,"TSENG FLING FINN [US] 
MAKKI IMAD HASSAN [US] 
DUDAR AED M [US]",FORD GLOBAL TECH LLC [US],"US2017192429A1 
US9921581B2",2016-01-04,"G05D1/00 
G05D1/02 
G08G1/00 
G08G1/0965 
G08G1/0967 
H04W4/02 
H04L29/08","B60W30/09 (CN) 
B60W60/0027 (US) 
B60W60/007 (US) 
G05D1/0055 (CN) 
G05D1/0088 (CN) 
G05D1/0287 (US) 
G08G1/00 (EP,US) 
G08G1/0965 (EP,GB,US) 
G08G1/096791 (EP,US) 
G08G1/162 (GB) 
H04W4/02 (EP) 
B60W2050/0075 (GB) 
B60W2554/80 (CN) 
B60W2556/65 (CN,GB,US) 
H04L67/12 (EP,US)","2017-07-06 
2018-03-20",2017-07-06,58412280,,2017-07-06,2018-03-20,US2017192429A1,"
US9921581B2",,
402,APPARATUS AND METHOD OF CONTROLLING AUTONOMOUS PLATOONING OF ELECTRIC VEHICLE,KIM HYUN SUP [KR],"HYUNDAI MOTOR CO LTD [KR] 
KIA MOTORS CORP [KR]",US2020372805A1,2019-05-23,"B60L58/12 
G05D1/00 
G05D1/02 
G08G1/00 
G08G1/0967 
H04W4/46","B60L53/305 (KR) 
B60L58/12 (EP,KR,US) 
B60W10/26 (KR) 
B60W30/165 (CN,KR) 
B60W40/076 (KR) 
B60W40/1005 (KR) 
B60W40/13 (KR) 
B60W60/001 (KR) 
G05D1/0088 (US) 
G05D1/0293 (US) 
G08G1/096791 (US) 
G08G1/22 (EP,KR,US) 
H04W4/44 (EP) 
H04W4/46 (EP,US) 
B60L2240/26 (KR) 
B60L2240/54 (KR) 
B60W2510/242 (CN) 
B60W2510/244 (CN) 
B60W2520/00 (CN) 
B60W2530/10 (CN,KR) 
B60W2530/16 (CN,KR) 
B60W2530/18 (KR) 
B60W2552/15 (KR) 
B60W2556/45 (KR) 
B60W2556/65 (KR) 
B60Y2200/91 (KR) 
H04W4/023 (EP) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP,KR)",2020-11-26,2020-11-26,73457314,,2020-11-26,,US2020372805A1,,"['CN', 'KR', 'US']","['CN112061127A', 'KR20200135622A', 'US2020372805A1']"
403,SYSTEM AND METHOD FOR PATH PLANNING OF AUTONOMOUS VEHICLES BASED ON GRADIENT,"LIN WUTU [US] 
HOU XIAODI [US]","TUSIMPLE [US] 
TUSIMPLE INC [US]","US10710592B2 
US2018292222A1",2017-04-07,"G01C21/34 
G05D1/10 
B60W40/04 
G01S13/931 
G01S17/931 
G05D1/02 
G01C21/20 
G05D1/00 
G01S13/86","B60W40/04 (US) 
G01C21/20 (EP,US) 
G01C21/343 (CN) 
G01S13/931 (EP,US) 
G01S17/931 (EP,US) 
G05D1/0088 (US) 
G05D1/0214 (EP,US) 
G05D1/0221 (EP) 
B60W2050/0029 (EP) 
G01S13/865 (EP,US) 
G01S13/867 (EP,US)","2018-10-11 
2020-07-14",2018-10-11,63710887,,2018-10-11,2020-07-14,US10710592B2,"
US2018292222A1","['CN', 'US']","['CN108692734A', 'CN108692734B', 'US10710592B2', 'US11673557B2', 'US2018292222A1', 'US2020298863A1', 'US2023391340A1']"
404,MANAGEMENT CONTROLLER AND MANAGEMENT CONTROL SYSTEM FOR AUTONOMOUS CONVEYANCE VEHICLE,SAKASHITA HIDETOMO,DAIHEN CORP,"JP2022166562A 
JP7618491B2",2021-04-21,"G05D1/02 
G05D1/43",,"2022-11-02 
2025-01-21",2022-11-02,83851669,,2022-11-02,2025-01-21,JP2022166562A,"
JP7618491B2",['JP'],"['JP2022166562A', 'JP7618491B2']"
405,SHARING CLASSIFIED OBJECTS PERCEIVED BY AUTONOMOUS VEHICLES,PREMAWARDENA ABHAYA [US],APTIV TECH LTD [BB],US2020104289A1,2018-09-27,"G01C21/32 
G06F16/182 
G06F16/23 
G06F16/29 
G06K9/00","G01C21/3859 (EP,CN,US) 
G01C21/3881 (EP,CN,US) 
G01S17/86 (EP) 
G01S17/89 (EP) 
G01S17/931 (EP) 
G05D1/0246 (EP) 
G05D1/0297 (EP) 
G06F16/182 (US) 
G06F16/2322 (US) 
G06F16/29 (US) 
G06V20/56 (US) 
G08G1/096805 (CN) 
G08G1/096833 (CN) 
G08G1/123 (CN) 
G08G1/161 (CN) 
H04W4/021 (EP,CN) 
H04W4/024 (CN) 
H04W4/40 (CN) 
H04W4/44 (EP)",2020-04-02,2020-04-01,68051690,,2020-04-02,,US2020104289A1,,,
406,VEHICLE DIAGNOSTICS BASED ON INFORMATION COMMUNICATED BETWEEN VEHICLES,"FISCHER JACOB [US] 
FRAMPTON DALE [US] 
SCHMIEDEL GARY [US] 
YAKES CHRISTOPHER K [US] 
BROGGI ALBERTO [IT]","OSHKOSH CORP [US] 
FISCHER JACOB [US] 
FRAMPTON DALE [US] 
SCHMIEDEL GARY [US] 
YAKES CHRISTOPHER K [IT] 
BROGGI ALBERTO [US] 
OSHKOSH CORP","US2009079839A1 
US8947531B2",2006-06-19,"G01S17/86 
H04N23/90 
G01S7/00 
G05D1/00 
G05D1/02 
H04N13/00 
H04N13/02 
H04N7/18","G01S17/86 (EP,US) 
G01S7/003 (EP,US) 
G05D1/0295 (EP,GB,US) 
G08G1/0965 (GB) 
G08G1/0968 (GB) 
H04N13/158 (EP,US) 
H04N13/243 (EP,US) 
H04N13/246 (EP,US) 
H04N23/90 (EP,US) 
G05D1/024 (EP,US) 
G05D1/0251 (EP,US) 
G05D1/027 (EP,US) 
G05D1/0272 (EP,US) 
G05D1/0274 (EP,US) 
G05D1/0278 (EP,US)","2009-03-26 
2015-02-03",2009-03-26,41319340,,2009-03-26,2015-02-03,US2009079839A1,"
US8947531B2",,
407,SYSTEM AND METHOD FOR FACILITATING DYNAMIC BRAND PROMOTION USING AUTONOMOUS VEHICLES,"LAWRENSON MATTHEW JOHN [CH] 
NOLAN JULIAN CHARLES [CH]",PANASONIC IP MAN CO LTD [JP],"US10776828B2 
US2019012704A1",2017-07-05,"G01C21/28 
G01C21/36 
G06Q30/02 
G06Q30/00","G01C21/28 (US) 
G01C21/3691 (US) 
G01C21/3697 (US) 
G06Q30/02 (EP,US) 
G06Q30/0242 (EP,US) 
G06Q30/0252 (EP,US) 
G06Q30/0265 (EP,US) 
G06Q30/0266 (EP,US) 
G06Q30/0271 (EP,US)","2019-01-10 
2020-09-15",2019-01-10,64902796,,2019-01-10,2020-09-15,US10776828B2,"
US2019012704A1","['CN', 'DE', 'JP', 'US', 'WO']","['CN110892437A', 'DE112018003476T5', 'JP2020525917A', 'JP7122665B2', 'US10776828B2', 'US2019012704A1', 'WO2019009383A1']"
408,WIRELESS CONTROL SYSTEM FOR AUTONOMOUS VEHICLES OPERATING IN AN EXTENDED AREA,HAGERSKANS JONAS [SE],VOLVO TRUCK CORP [SE],US2022404827A1,2019-11-15,"G05D1/00 
H04L67/00 
H04L67/12 
H04W4/90","G05D1/0011 (EP) 
G05D1/0027 (US) 
G05D1/0055 (EP,US) 
H04L67/12 (EP,US) 
H04L67/34 (EP,US) 
H04W4/44 (EP) 
H04W4/90 (EP,US)",2022-12-22,2021-05-20,68618145,,2022-12-22,,US2022404827A1,,"['AU', 'CN', 'EP', 'JP', 'US', 'WO']","['AU2019474704A1', 'CN114731496A', 'EP4059240A1', 'EP4059240B1', 'EP4059240C0', 'JP2023509566A', 'JP7392141B2', 'US2022404827A1', 'WO2021093967A1']"
409,SECONDARY COLLISION AVOIDANCE CONTROL METHOD OF AUTONOMOUS VEHICLE,"KIM IN SU [KR] 
YEOM MYUNG KI [KR]","HYUNDAI MOTOR CO LTD [KR] 
KIA CORP [KR]",US2025033631A1,2023-07-25,"B60W10/18 
B60W10/20 
B60W30/09 
B60W30/095 
B60W60/00","B60W10/08 (KR) 
B60W10/18 (EP,KR,US) 
B60W10/20 (EP,KR,US) 
B60W30/09 (EP,US) 
B60W30/095 (KR) 
B60W30/0953 (EP,US) 
B60W30/0956 (EP,US) 
B60W40/04 (KR) 
B60W60/0015 (EP,KR,US) 
H04W4/46 (KR) 
B60W2030/082 (KR) 
B60W2420/403 (KR) 
B60W2420/408 (KR) 
B60W2420/54 (EP,KR,US) 
B60W2520/105 (EP,KR,US) 
B60W2520/125 (EP,KR,US) 
B60W2520/14 (EP,KR,US) 
B60W2556/65 (EP,US) 
B60W2756/10 (KR)",2025-01-30,2025-01-30,94373130,,2025-01-30,,US2025033631A1,,"['KR', 'US']","['KR20250016712A', 'US2025033631A1']"
410,APPARATUS AND METHOD FOR CONTROLLING AUTONOMOUS VEHICLE PLATOONING,"LEE SANGWOO [KR] 
PARK MYUNGWOOK [KR] 
HAN WOOYONG [KR]",KOREA ELECTRONICS TELECOMM [KR],"US2015100192A1 
US9224300B2",2013-10-07,"G08G1/00 
G05D1/02","G05D1/02 (KR,US) 
G05D1/0293 (EP,US) 
G08G1/22 (EP,US) 
H04L2012/5603 (KR)","2015-04-09 
2015-12-29",2015-04-09,52777588,,2015-04-09,2015-12-29,US2015100192A1,"
US9224300B2","['KR', 'US']","['KR101909917B1', 'KR20150040572A', 'US2015100192A1', 'US9224300B2']"
411,AUTONOMOUS DRIVING SYSTEM AND AUTONOMOUS DRIVING VEHICLE,"HASHIMOTO RYUTA [JP] 
WATANABE YOSHINORI [JP] 
AOKI KENICHIRO [JP] 
KURIYAMA TOMOYUKI [JP]",TOYOTA MOTOR CO LTD [JP],"US10699579B2 
US2018047292A1",2016-08-10,"G08G1/01 
G08G1/16 
B60W30/00 
G01C21/36 
G05D1/02 
G06K9/00","B60W30/00 (US) 
B60W30/14 (KR) 
G01C21/3658 (EP,US) 
G05D1/0289 (EP,US) 
G06V20/588 (EP,US) 
G08G1/0125 (US) 
G08G1/16 (RU) 
G08G1/166 (CN) 
G08G1/167 (US) 
G08G1/22 (CN) 
B60Y2300/14 (KR)","2018-02-15 
2020-06-30",2018-02-14,59294949,,2018-02-15,2020-06-30,US10699579B2,"
US2018047292A1","['BR', 'CN', 'EP', 'JP', 'KR', 'MY', 'RU', 'SG', 'US']","['BR102017017212A2', 'CN107731002A', 'CN107731002B', 'EP3282226A1', 'EP3282226B1', 'JP2018025976A', 'JP6583185B2', 'KR102017780B1', 'KR20180018379A', 'MY186563A', 'RU2671446C1', 'SG10201705352TA', 'US10699579B2', 'US2018047292A1']"
412,"Method and device for controlling autonomous vehicle, medium and vehicle","TANG SHUAI 
WANG YU 
QU TONG",AUDI SHARE COMPANY,"CN114162125A 
CN114162125B",2020-09-11,"B60W30/18 
B60W40/00 
B60W50/00 
B60W60/00","B60W30/18009 (CN) 
B60W40/00 (CN) 
B60W50/00 (CN) 
B60W60/00 (CN)","2022-03-11 
2024-11-22",2022-03-11,80476014,,2022-03-11,2024-11-22,CN114162125A,"
CN114162125B",,
413,Autonomous vehicle software version assessment,"FIELDS BRIAN MARK [US] 
HUANG CHIEN CHE [US] 
WAZEER MOHAMED A [US] 
BENNETT SHAWN C [US] 
CIELOCHA STEVEN C [US] 
BRYANT RONNY S [US] 
KOHAUS STEPHEN [US] 
QUAKENBUSH TERRY [US] 
NOVAK RICHARD A [US] 
CHAN AARON SCOTT [US] 
MAIN CRAIG M [US] 
WU WEIXIN [US] 
WOLLENSCHLAGER TORRI [US] 
CSANDA CAROL MARIE [US] 
GORSUCH STACEY [US] 
BINION TODD [US]",STATE FARM MUTUAL AUTOMOBILE INSURANCE CO [US],US9946531B1,2014-11-13,"B60W50/04 
G06F9/44 
G06F9/445 
G06Q40/08 
B60W50/00","A61B5/02028 (US) 
A61B5/4064 (US) 
A61B5/4094 (US) 
A61B5/6893 (US) 
A61B5/7282 (US) 
B60K35/00 (US) 
B60K35/80 (EP) 
B60K35/85 (EP) 
B60W10/04 (US) 
B60W30/06 (US) 
B60W30/09 (US) 
B60W30/0956 (US) 
B60W40/02 (US) 
B60W40/08 (US) 
B60W40/09 (US) 
B60W50/02 (US) 
B60W50/0205 (US) 
B60W50/045 (US) 
B60W50/082 (US) 
B60W50/12 (US) 
B60W50/14 (US) 
B60W60/0053 (US) 
B60W60/0059 (US) 
B60W60/007 (US) 
B62D15/0285 (EP,US) 
G01C21/3407 (US) 
G05D1/0055 (US) 
G05D1/0214 (US) 
G05D1/0278 (US) 
G05D1/248 (US) 
G05D1/617 (US) 
G06F8/65 (EP,US) 
G06Q30/0206 (US) 
G06Q30/0207 (EP,US) 
G06Q30/0217 (EP,US) 
G06Q40/08 (EP,US) 
G07C5/02 (US) 
G07C5/0808 (US) 
G08B25/10 (US) 
G08G1/091 (US) 
G08G1/0962 (US) 
G08G1/14 (US) 
B60W2040/0809 (US) 
B60W2040/0818 (US) 
B60W2050/0071 (US) 
B60W2050/0073 (US) 
B60W2050/0075 (US) 
B60W2050/0215 (US) 
B60W2050/046 (US) 
B60W2050/143 (US) 
B60W2420/403 (US) 
B60W2540/043 (US) 
B60W2540/22 (US) 
B60W2540/221 (US) 
B60W2540/26 (US) 
B60W2556/45 (US) 
B60W2756/10 (US) 
B60W2900/00 (US)",2018-04-17,2018-04-17,61872545,,2018-04-17,,US9946531B1,,['US'],"['US10007263B1', 'US10157423B1', 'US10166994B1', 'US10241509B1', 'US10246097B1', 'US10266180B1', 'US10336321B1', 'US10353694B1', 'US10416670B1', 'US10431018B1', 'US10821971B1', 'US10824144B1', 'US10824415B1', 'US10831191B1', 'US10831204B1', 'US10915965B1', 'US10940866B1', 'US10943303B1', 'US11014567B1', 'US11127290B1', 'US11173918B1', 'US11175660B1', 'US11247670B1', 'US11393041B1', 'US11494175B2', 'US11500377B1', 'US11532187B1', 'US11645064B2', 'US11720968B1', 'US11726763B2', 'US11740885B1', 'US11748085B2', 'US11954482B2', 'US11977874B2', 'US12032945B2', 'US12086583B2', 'US2020219197A1', 'US2021031756A1', 'US2021031779A1', 'US2021031791A1', 'US2021041868A1', 'US2021041879A1', 'US2021118249A1', 'US2022126820A1', 'US2022318924A1', 'US2023029673A1', 'US2023053773A1', 'US2023070573A1', 'US2023251848A1', 'US2024248708A1', 'US2024256260A1', 'US2024362013A1', 'US2024394038A1', 'US9944282B1', 'US9946531B1']"
414,TIMING OF PICKUPS FOR AUTONOMOUS VEHICLES,NEESE MEGAN [US],WAYMO LLC [US],US2022222597A1,2021-01-12,G06Q10/06,"G06Q10/06311 (EP,US)",2022-07-14,2022-07-14,82322900,,2022-07-14,,US2022222597A1,,"['US', 'WO']","['US2022222597A1', 'WO2022155031A1']"
415,COMPETITIVE AND COLLABORATIVE AUTONOMOUS VEHICLE TASK PERFORMANCE,"CUI ZHI [US] 
DOWLATKHAH SANGAR [US] 
KHAN SAMEENA [US] 
PAIGE TROY [US] 
CRAINE ARI [US] 
KOCH ROBERT [US]","AT & T IP I LP [US] 
AT & T MOBILITY II LLC [US]",US2024028028A1,2020-11-30,"B60W60/00 
G05D1/00 
G08G1/00","B60W60/001 (US) 
G05D1/0022 (US) 
G05D1/0027 (US) 
G06Q10/02 (EP) 
G06Q10/0631 (EP) 
G06Q10/08 (EP) 
G08G1/20 (US) 
G08G1/202 (EP) 
H04W4/46 (EP) 
H04W4/40 (US)",2024-01-25,2022-06-02,81751313,,2024-01-25,,US2024028028A1,,['US'],"['US2022171385A1', 'US2024028028A1']"
416,Decentralized maneuver control in heterogeneous autonomous vehicle networks,"FREGENE KINGSLEY O [US] 
BORELLI FRANCESCO [US]",HONEYWELL INT INC [US],US2006235584A1,2005-04-14,"G01C22/00 
G05D1/00","G05D1/104 (EP,US)",2006-10-19,2006-10-19,36794943,,2006-10-19,,US2006235584A1,,"['US', 'WO']","['US2006235584A1', 'WO2006113173A1']"
