Title,Inventors,Applicants,first filing year,earliest priority year,IPC,CPC,first publication country
Emergency power supply system based on electric vehicle and operation method,"WANG KUAN 
LI CHANGYONG 
HUANG HONGYU 
FANG HONGWEI 
HOU LIQUN 
ZHANG YAQI 
SHI LEXIAN 
WEN KAI","CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD",2020,2020,"['A62B13/00', 'B60P3/00', 'F24D15/00', 'F24F11/64', 'F24F11/72', 'F24F11/80', 'H02J9/06', 'H02J9/08', 'F24F110/10', 'F24F110/20', 'F24F110/65', 'F24F110/70', 'F24F110/76']","['A62B13/00 (CN)', 'B60P3/00 (CN)', 'F24D15/00 (CN)', 'F24F11/64 (CN)', 'F24F11/72 (CN)', 'F24F11/80 (CN)', 'H02J9/068 (CN)', 'H02J9/08 (CN)', 'F24F2110/10 (CN)', 'F24F2110/20 (CN)', 'F24F2110/65 (CN)', 'F24F2110/70 (CN)', 'F24F2110/76 (CN)', 'Y02B70/30 (EP)', 'Y04S20/20 (EP)']",CN
Electric vehicle system based on hybrid power generation heater with carbon dioxide capture function,YUN DONG GOO [KR],STORAGEAN INC [KR],2023,2021,"['B60H1/14', 'B60K15/03', 'B60K7/00', 'B60L58/27', 'B60L58/40', 'F02M21/02', 'F23G5/027', 'H01M8/04082', 'H01M8/04089', 'H01M8/04537', 'H01M8/04828']","['B60H1/143 (KR)', 'B60K15/03006 (KR)', 'B60K7/0007 (KR)', 'B60L58/27 (KR)', 'B60L58/40 (KR)', 'F02M21/0263 (KR)', 'F23G5/027 (KR)', 'H01M8/04089 (KR)', 'H01M8/04208 (KR)', 'H01M8/04589 (KR)', 'H01M8/0494 (KR)', 'H01M8/04947 (KR)', 'H01M8/0668 (KR)', 'H01M8/249 (KR)', 'B60K2015/03315 (KR)', 'B60L2220/46 (KR)', 'B60Y2200/91 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (EP,KR)', 'Y02T10/7072 (KR)']",KR
PLUG-IN FUEL CELL MODULE,CREUS RUBEN G [US],CREUS RUBEN G [US],2024,2022,"['B60L50/75', 'H01M10/0525', 'H01M10/34', 'H01M10/44', 'H01M16/00', 'H01M8/04992']","['B60L50/75 (EP,US)', 'H01M10/0525 (EP,US)', 'H01M10/345 (EP,US)', 'H01M10/441 (EP,US)', 'H01M16/006 (EP,US)', 'H01M8/04992 (EP,US)', 'H01M2220/20 (US)', 'H01M2250/20 (US)', 'H01M2250/402 (US)', 'Y02E60/50 (EP)']",US
Charging and discharging facility fire alarm and fire extinguishing system based on three-dimensional fire extinguishing inside and outside vehicle,"QIAN ZENGZHI 
OU HIROSHI 
ZHENG XIAOYAN 
FANG HONGWEI 
LI TAISHENG 
CHEN JING 
LI XIAOGE 
ZHANG YAQI 
WEN KAI 
SHI LEXIAN",CHINA RAILWAY CONSTR GROUP CO,2022,2021,"['A62C3/07', 'A62C3/16', 'A62C31/00', 'A62C31/28', 'A62C37/40', 'F24F11/89', 'F24F7/08', 'G08B17/06', 'G08B17/10', 'G08B25/08', 'G08B25/10']","['A62C3/07 (CN)', 'A62C3/16 (CN)', 'A62C31/005 (CN)', 'A62C31/28 (CN)', 'A62C37/40 (CN)', 'F24F11/89 (CN)', 'F24F7/08 (CN)', 'G08B17/06 (CN)', 'G08B17/10 (CN)', 'G08B25/08 (CN)', 'G08B25/10 (CN)', 'A62C99/0072 (CN)', 'F24F2007/001 (CN)', 'Y02B30/70 (EP)']",CN
A Moving Vehicle Charging Apparatus With A Battery,"LEE EUNG JO [KR] 
SHIN CHANGNYON","FLB CO LTD [KR] 
LEE EUNG JO [KR]",2023,2021,"['A62C2/10', 'A62C3/16', 'B60K1/00', 'B60K11/06', 'B60L3/00']","['A62C2/10 (KR)', 'A62C2/247 (KR)', 'A62C3/07 (KR)', 'A62C3/16 (KR)', 'A62C37/40 (KR)', 'A62C99/0027 (KR)', 'A62C99/0072 (KR)', 'B60K1/00 (KR)', 'B60K11/06 (KR)', 'B60L3/0046 (KR)', 'B60L3/0092 (KR)', 'B60K2001/005 (KR)', 'B60Y2200/91 (KR)', 'Y02T10/70 (KR)', 'Y02T10/7072 (KR)']",KR
"Electrolyte, battery, battery pack, electronic device, electric vehicle, power storage device and power system","TSUDA RYOHEI 
ODANI TORU 
KUBOTA TADAHIKO",SONY CORP,2017,2015,"['H01M10/052', 'H01M10/0567', 'H01M4/38']","['H01M10/052 (EP,US)', 'H01M10/0567 (EP,US)', 'H01M4/38 (US)', 'H01M4/386 (EP,US)', 'Y02E60/10 (EP,US)', 'Y02T10/70 (US)']",CN
ULTRA-SMALL ELECTRIC VEHICLE INCLUDED WITH AIR-COOLED HYDROGEN FUEL CELL AND METHOD FOR CONTROLLING THEREOF,"SEO MIN JI 
KIM KI WHAN 
KANG DONG KIL",KOREA AUTOMOTIVE TECH INST [KR],2024,2023,"['B60L50/60', 'B60L53/24', 'B60L58/12', 'B60L58/30', 'B60L58/40', 'B60L7/10']","['B60L50/60 (KR)', 'B60L53/24 (KR)', 'B60L58/12 (KR)', 'B60L58/30 (KR)', 'B60L58/40 (KR)', 'B60L7/10 (KR)', 'B60L2210/14 (KR)', 'B60Y2200/91 (KR)', 'Y02E60/50 (EP,KR)', 'Y02T10/70 (KR)', 'Y02T10/7072 (KR)', 'Y02T10/72 (KR)', 'Y02T90/12 (KR)']",KR
HYBRID ELECTRICAL POWER SYSTEM FOR INDUSTRIAL ELECTRIC VEHICLE AND METHOD OF OPERATION THEREOF,"CHOU TING-KAI [TW] 
CHOU CHE-PING [TW] 
LIN CHEN-SHENG [TW] 
HSU CHIH-PIN [TW]",M-FIELD ENERGY LTD [TW],2016,2015,"['B60L11/18', 'H02M3/04']","['B60L50/70 (EP,US)', 'H02J1/102 (EP,US)', 'H02J7/34 (EP,US)', 'H02J2300/30 (EP,US)', 'H02J2310/48 (EP)', 'H02J7/0048 (EP,US)', 'H02M3/335 (EP,US)', 'Y02T90/40 (EP)']",US
SYSTEM AND METHOD FOR STORAGE AND DELIVERY OF A FUEL ADDITIVE ON-BOARD A PLUG-IN HYBRID ELECTRIC VEHICLE,YACCARINO PHILIP A [US],"GM GLOBAL TECH OPERATIONS INC [US] 
YACCARINO PHILIP A [US]",2010,2009,"['F02B47/00', 'F02B43/00']","['B60K15/03 (EP,US)', 'B60K6/24 (EP,US)', 'B60K6/48 (EP,US)', 'B60W10/06 (EP,US)', 'B60W10/08 (EP,US)', 'B60W10/26 (EP,US)', 'B60W20/00 (EP)', 'B60W20/15 (US)', 'F02M25/00 (EP,US)', 'F02M37/0064 (EP,US)', 'B60K2015/03348 (EP,US)', 'B60K6/20 (EP,US)', 'B60W2530/213 (US)', 'Y02T10/62 (EP,US)', 'Y02T90/14 (EP,US)']",US
ELECTRIC VEHICLE WITH FUEL CELL,"HIRAMITSU YUSUKE 
TASHIRO KEISUKE",MITSUBISHI MOTORS CORP,2018,2016,"['B60L11/18', 'H01M8/00', 'H01M8/04', 'H01M8/04858']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)']",JP
POWER FEED SYSTEM OF POWER-STORAGE TYPE ELECTRIC TRAIN,"TSUTSUMI KAZUO 
GOTO FUMIYA 
MATSUMURA TAKAHIRO 
TOMITA CHIYOHARU",KAWASAKI HEAVY IND LTD,2010,2009,"['B60L11/18', 'B60L3/00', 'B60L5/00']","['B60L1/003 (EP)', 'B60L15/2009 (EP)', 'B60L3/0046 (EP,US)', 'B60L3/0069 (EP)', 'B60L3/04 (EP)', 'B60L50/40 (EP)', 'B60L50/51 (EP)', 'B60L50/66 (EP)', 'B60L53/11 (EP)', 'B60L53/16 (EP)', 'B60L53/30 (EP,US)', 'B60L53/32 (EP)', 'B60L53/53 (EP,US)', 'B60L58/14 (EP,US)', 'B60L58/16 (EP)', 'B60L58/19 (EP)', 'B60L58/26 (EP)', 'B60L7/14 (EP)', 'B60L2200/26 (EP)', 'B60L2210/10 (EP)', 'B60L2210/30 (EP)', 'B60L2220/12 (EP)', 'B60L2240/421 (EP)', 'B60L2240/547 (EP)', 'B60L2240/549 (EP)', 'B60L2270/145 (EP)', 'B60L5/42 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",JP
HYDROGEN STORAGE ALLOY AND NICKEL-HYDROGEN SECONDARY BATTERY USING THE SAME,"KAWASHIMA FUMIYUKI 
SAKAMOTO TOSHIYA 
ARAI TOMOHISA",TOSHIBA CORP,2002,2000,"['C22C19/00', 'H01M10/30', 'H01M4/24', 'H01M4/38', 'C22C19/00', 'H01M10/30', 'H01M4/24', 'H01M4/38']",['Y02E60/10 (EP)'],JP
Pulse cycle life test method of nickel-metal hydride battery for electric automobile,"NIE JINGXUAN 
DAI RUNYI 
DU XIAOYONG 
CHEN KEYU",CHENGDU YAJUN NEW ENERGY AUTOMOBILE TECH CO LTD,2017,2016,"['G01R31/36', 'G01R31/378']",['G01R31/392 (CN)'],CN
"Preparation, storage and addition integrated comprehensive energy complementing vehicle based on methanol high-pressure reforming hydrogen production and power generation","QIN JIANG 
LENG SHUANG 
YU BIN 
LI CHENGJIE 
HA CHAN",HARBIN INST TECHNOLOGY,2024,2023,"['B60L53/53', 'B60L53/54', 'B60L53/57', 'B60P3/00', 'C01B3/32', 'F17C13/00', 'F17C13/02', 'F17C5/06', 'F17C7/00']",['unkown)'],CN
Grid-connected and off-grid type wind-solar-water hydrogen storage fuel cell direct current interconnection microgrid system,"ZHU YONG 
CAO XI 
LIU MINGYI 
JING TIEYAN 
LI TIANLU 
LIU DAWEI 
XU RUOCHEN 
PEI JIE 
CAO CHUANZHAO 
ZHENG JIANTAO","HUANENG CLEAN ENERGY RES INST 
HUANENG GROUP TECH INNOVATION CENTER CO LTD 
HUANENG JILIN POWER GENERATION CO LTD",2021,2020,"['H02J3/00', 'H02J3/28', 'H02J3/32', 'H02J3/38']","['Y02E10/56 (EP)', 'Y02E10/76 (EP)', 'Y02E40/10 (EP)', 'Y02E60/36 (EP)', 'Y02E70/30 (EP)']",CN
Green electricity generator,DAVID ARTHUR TIBBS [GB],DAVID ARTHUR TIBBS [GB],2023,2022,['B60L53/00'],"['B60L53/00 (EP,GB)', 'B60L55/00 (EP)']",GB
Computer implemented system and method and computer program product for using battery information to automatically charge a battery,FEARN KENNETH E [US],MAT HANDLING SERVICES LLC [US],2017,2013,"['G01R31/36', 'H02J7/00']","['B60L53/65 (EP,US)', 'B60L53/68 (EP,US)', 'G01R31/3648 (EP,US)', 'H02J13/00002 (EP,US)', 'H02J7/00712 (EP,US)', 'H02J7/007188 (EP,US)', 'B60L2240/70 (EP,US)', 'H02J2310/48 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T10/72 (EP,US)', 'Y02T90/12 (EP,US)', 'Y02T90/14 (US)', 'Y02T90/16 (EP,US)', 'Y02T90/167 (EP,US)', 'Y04S30/12 (EP,US)', 'Y04S30/14 (EP,US)']",US
ELECTRIC VEHICLE EMPLOYING FUEL CELLS AND RECHARGEABLE BATTERIES,"FARBER BRUCE [US] 
MENEN CHASE [US]",WIGGINS LIFT CO INC [US],2024,2022,"['B60L1/00', 'B60L50/75', 'B60L58/13', 'B60L58/24', 'B60L58/32', 'B60L58/40', 'H01M10/46', 'H01M10/48', 'H01M10/613', 'H01M10/615', 'H01M10/625', 'H01M16/00', 'H01M8/04082', 'H01M8/0432', 'H01M8/04537', 'H02J7/00', 'H02J7/34']","['B60L1/003 (EP,US)', 'B60L15/2045 (EP)', 'B60L50/75 (EP,US)', 'B60L58/12 (EP)', 'B60L58/13 (EP,US)', 'B60L58/24 (US)', 'B60L58/26 (EP)', 'B60L58/27 (EP)', 'B60L58/30 (EP)', 'B60L58/32 (US)', 'B60L58/33 (EP)', 'B60L58/34 (EP)', 'B60L58/40 (EP,US)', 'H01M10/46 (EP,US)', 'H01M10/482 (EP,US)', 'H01M10/486 (EP,US)', 'H01M10/613 (EP,US)', 'H01M10/615 (EP,US)', 'H01M10/625 (EP,US)', 'H01M16/006 (EP,US)', 'H01M8/04201 (EP,US)', 'H01M8/0432 (EP,US)', 'H01M8/04619 (EP,US)', 'H02J7/0063 (EP,US)', 'H02J7/34 (EP,US)', 'B60L2260/54 (EP)', 'H01M2220/20 (US)', 'H01M2250/20 (US)', 'H01M2250/402 (US)', 'Y02T90/40 (EP)']",US
Fuel cell hybrid electric vehicle energy management online optimization method based on improved genetic algorithm,"PENG CHAO 
ZOU JIANXIAO 
XIAO DONG 
XU HONGBING 
ZHU YUN",UNIV ELECTRONIC SCI & TECH CHINA,2020,2020,"['B60L50/75', 'B60L58/40', 'G05B13/02', 'G05B13/04', 'G06N3/12', 'G06N7/02']","['B60L50/75 (CN)', 'B60L58/40 (CN)', 'G05B13/0275 (CN)', 'G05B13/042 (CN)', 'G06N3/126 (CN)', 'G06N7/023 (CN)', 'Y02E40/70 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)', 'Y04S10/50 (EP)']",CN
"FAST-CHARGING STATION AND METHOD FOR CHARGING ELECTRICALLY OPERATED LAND VEHICLES, WATERCRAFT, AIRCRAFT AND/OR WORK MACHINES AND/OR BATTERIES",JOISTEN-PIERITZ JOACHIM [DE],DEUTZ AG [DE],2022,2019,"['B60L53/30', 'B60L53/50', 'B60L53/51', 'B60L53/53', 'B60L53/54', 'B60L53/55', 'B60L53/56', 'B60L53/66']","['B60L50/16 (EP)', 'B60L53/11 (EP,US)', 'B60L53/30 (US)', 'B60L53/50 (US)', 'B60L53/51 (EP,US)', 'B60L53/53 (EP,US)', 'B60L53/54 (EP,US)', 'B60L53/55 (EP,US)', 'B60L53/56 (EP,US)', 'B60L53/57 (EP,US)', 'B60L53/66 (US)', 'B60L2200/10 (US)', 'B60L2200/32 (US)', 'B60L2200/40 (EP,US)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",US
Electric vehicle energy supply device of expressway service station,"WU GUOFANG 
LIU FUJIA 
XU SHUQUAN",RES INST HIGHWAY MINI TRANSP,2021,2021,"['B60L53/51', 'B60L53/52', 'B60L53/54', 'F28D20/02', 'H02J15/00', 'H02J7/35', 'H02S10/10', 'H02S10/12', 'H02S10/20']","['B60L53/51 (CN)', 'B60L53/52 (CN)', 'B60L53/54 (CN)', 'F28D20/02 (CN)', 'H02J15/00 (CN)', 'H02J7/35 (CN)', 'H02S10/10 (CN)', 'H02S10/12 (CN)', 'H02S10/20 (CN)', 'Y02E10/50 (EP)', 'Y02E60/14 (EP)', 'Y02E70/30 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
METHOD AND SYSTEM FOR CHARGING ELECTRIC VEHICLES VIA FUEL CARTRIDGE,KINAV EMRAH [TR],KINAV EMRAH [TR],2015,2014,"['B60L11/18', 'H01M10/44', 'H01M8/04']","['B60L58/40 (EP,US)', 'H01M16/006 (EP,US)', 'H01M8/04208 (EP,US)', 'H01M8/04223 (US)', 'H01M8/04917 (EP,US)', 'H01M8/04947 (EP,US)', 'H01M2250/20 (EP,US)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP,US)']",US
Stand-by power supply,"WANG YULONG 
SUN YANXIAN 
REN NING 
PAN JIANJIAN 
NIE CHUNLEI",ZHEJIANG CHILWEE CHUANGYUAN IND CO LTD,2015,2014,"['G01N33/00', 'H02J7/00']",['unkown)'],CN
Emergency power supply,"WANG YULONG 
SUN YANXIAN 
REN NING 
PAN JIANJIAN 
NIE CHUNLEI",ZHEJIANG CHILWEE CHUANGYUAN IND CO LTD,2015,2014,"['G01N33/00', 'H02J7/00']",['H02J9/00 (CN)'],CN
Nickel-hydrogen battery system based on signal collection and control by built-in sensors,"LOU YUWAN 
ZHOU MINGMING 
PU JIANGYAN 
JIANG QIANG 
HUANG JIACHUN 
XIA BAOJIA","SHANGHAI WANHONG POWER & ENERGY CO LTD 
SHANGHAI INST MICROSYS & INF",2014,2013,['H01M10/48'],['Y02E60/10 (EP)'],CN
ECOLOGICAL PARKING LOT FOR BICYCLE,KAWABATA SHUNJI,KAWABATA SHUNJI,2005,2004,"['F17C11/00', 'H01M8/00', 'H01M8/04', 'H02J7/00', 'H02J7/35', 'F17C11/00', 'H01M8/00', 'H01M8/04', 'H02J7/00', 'H02J7/35']","['Y02E10/76 (EP)', 'Y02E60/32 (EP)', 'Y02E60/50 (EP)']",JP
Two energy source electric automobile energy management system based on fuzzy control,"XING FENG 
ZOU CHANGPING 
WEI XIANKUN",UNIV CHONGQING TECH & BUSINESS,2015,2015,['B60L11/18'],"['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",CN
Plasma hydrogen production device for new energy automobiles,"YUAN RONG 
FANG WENLIANG",ANHUI ZHIZHI INFORMATION TECH CO LTD,2018,2017,"['H01M8/04082', 'H01M8/0612']","['H01M8/04201 (CN)', 'H01M8/0612 (CN)', 'H01M2250/20 (CN)', 'Y02E60/50 (EP)']",CN
"ELECTROLYTIC SOLUTION, BATTERY, BATTERY PACK, ELECTRONIC DEVICE, ELECTRIC VEHICLE, ELECTRICAL STORAGE DEVICE, AND ELECTRIC POWER SYSTEM","ODANI TORU [JP] 
KUBOTA TADAHIKO [JP]",MURATA MANUFACTURING CO [JP],2019,2016,"['H01M2/26', 'H01M2/30', 'B60L50/64', 'H01M10/0525', 'H01M10/0567', 'H01M10/0587', 'H01M10/44', 'H01M10/052', 'H01M10/0565', 'H01M4/38', 'H01M50/20', 'H01M50/409', 'H01M50/538', 'H01M50/543']","['B60L50/64 (EP,US)', 'H01M10/052 (US)', 'H01M10/0525 (EP,US)', 'H01M10/0565 (EP,US)', 'H01M10/0567 (EP,US)', 'H01M10/0587 (US)', 'H01M10/44 (US)', 'H01M4/38 (US)', 'H01M50/211 (EP,US)', 'H01M50/213 (EP,US)', 'H01M50/249 (EP,US)', 'H01M50/443 (EP,US)', 'H01M50/446 (EP)', 'H01M50/451 (EP,US)', 'H01M50/454 (EP,US)', 'H01M50/534 (EP,US)', 'H01M50/536 (EP,US)', 'H01M2220/20 (EP,US)', 'H01M2300/0025 (EP)', 'H01M4/386 (EP)', 'H01M4/387 (EP)', 'H01M4/587 (EP)', 'Y02E60/10 (EP,US)', 'Y02P70/50 (EP)', 'Y02T10/70 (EP,US)']",US
Electric automobile supporting gesture control,"XIANG HUA 
LI WENXIA",GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,2018,2016,"['B60L11/18', 'B60L8/00', 'B60R16/037', 'G06F3/01']","['B60L50/72 (CN)', 'B60L58/30 (CN)', 'B60L8/003 (CN)', 'B60L8/006 (CN)', 'B60R16/037 (CN)', 'B60R16/0373 (CN)', 'G06F3/017 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/40 (EP)']",CN
Vehicle Using Solar And Control Method thereof,KWON YUNG [KR],KWON YUNG [KR],2019,2018,"['B60L15/20', 'B60L50/50', 'B60L8/00', 'B60R25/10', 'H02S40/38']","['B60L15/20 (KR)', 'B60L53/16 (KR)', 'B60L58/40 (KR)', 'B60L8/003 (KR)', 'B60R25/04 (KR)', 'H02S40/38 (KR)', 'B60L2240/423 (KR)', 'B60L2240/547 (KR)', 'B60Y2200/91 (KR)', 'B60Y2400/202 (KR)', 'Y02B10/10 (EP)', 'Y02E10/50 (EP)', 'Y02E60/50 (KR)', 'Y02E70/30 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/14 (EP)']",KR
Power replenishing system of electric automobile,DONGHUA TONG,SHANGHAI ZHONGZHI NEWENERGY TECHNOLOGY DEV CO LTD,2010,2009,"['B60L11/18', 'B60S5/00', 'H02J7/00']","['B60L53/11 (EP)', 'B60L53/80 (EP)', 'B60L58/21 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",CN
Energy source management system of electrically driven vehicle,"MA BINYAN [CN] 
JIANG HONGXIANG [CN] 
JIANG PEIZHANG [CN]",WEIDA ENERGY SOURCE SCIENCE AN [CN],2004,2003,"['B60K26/00', 'B60K37/00', 'B60L11/00', 'G09F9/00', 'B60K26/00', 'B60K37/00', 'B60L11/00', 'G09F9/00']",['unkown)'],CN
Plug-in type vehicle-mounted hydrogen generator,"JI CHANGWEI 
WANG SHUOFENG",UNIV BEIJING TECHNOLOGY,2017,2017,"['C25B1/04', 'C25B15/02', 'C25B9/00', 'C25B9/04']","['C25B1/04 (CN)', 'C25B15/02 (CN)', 'C25B9/00 (CN)', 'C25B9/65 (CN)', 'Y02E60/36 (EP)']",CN
REGENERATIVE CHANGE CONTROLLER FOR ELECTRIC VEHICLE,"TSUJI TADASHI 
SODENO TSUYOSHI",NISSAN MOTOR,1996,1994,"['B60L11/18', 'B60L7/12', 'H01M10/44', 'H02J7/00', 'B60L11/18', 'B60L7/12', 'H01M10/44', 'H02J7/00']",['Y02E60/10 (EP)'],JP
Construction method for electric car flying wheel battery auxiliary power system,"CAO BINGGANG [CN] 
ZHOU HAOBIN [CN] 
BAI ZHIFENG [CN] 
BINGGANG CAO [CN] 
HAOBIN ZHOU [CN]","XIAN COMM UNIV [CN] 
UNIV XI AN JIAOTONG [CN]",2004,2003,"['B60K1/04', 'B60L11/16', 'B60K1/04', 'B60L50/30']","['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",CN
Intelligent energy management method of hydrogen fuel cell hybrid electric vehicle involving degradation,"TAO FAZHAN 
ZHANG YABO 
LU HONGXIN 
FU ZHIGAO 
TANG XIAOLIN 
CHEN BO 
JI BAOFENG 
WANG TONG 
WU HONGHAI 
LI SHUAIYONG 
ZHU LONGLONG 
GAO SONG 
LI MENGYANG 
ZHANG ZHONGCAI 
ZHANG JI 
ZHANG PING 
SUN LIFAN","LONGMEN LABORATORY 
UNIV HENAN SCIENCE & TECH",2023,2023,"['B60L50/40', 'B60L50/75', 'B60L58/40', 'B60W50/00']","['B60L50/40 (CN)', 'B60L50/75 (CN)', 'B60L58/40 (CN)', 'B60W50/00 (CN)', 'B60L2210/10 (CN)', 'B60W2050/0019 (CN)', 'B60W2050/0031 (CN)', 'B60W2050/0039 (CN)']",CN
HYBRID POWER SYSTEM,ROSSI LORENZO [CA],WORKSPORT LTD [US],2023,2022,"['B60L50/75', 'B60L58/40', 'B60L53/51', 'H01M10/44', 'H01M8/18']","['B60L50/75 (EP)', 'B60L58/40 (EP)', 'B60L8/003 (EP)', 'H01M16/006 (EP)', 'H01M8/04119 (EP)', 'H01M8/1007 (EP)', 'H01M2220/20 (EP)', 'H01M2250/20 (EP)', 'H01M2250/402 (EP)', 'Y02T90/40 (EP)']",WO
Metal hydride heat storage and heating system for electric vehicle,"DONG KAIJUN 
SUN QIN 
LUO WEIMIN",GUANGZHOU INST ENERGY CONVERSION CAS,2021,2020,"['B60H1/00', 'F17C11/00', 'F17C13/00', 'F24V30/00', 'H01M10/615', 'H01M10/625', 'H01M10/6556', 'H01M10/6563']","['B60H1/00278 (CN)', 'B60H1/00492 (CN)', 'F17C11/005 (CN)', 'F17C13/00 (CN)', 'F24V30/00 (CN)', 'H01M10/615 (CN)', 'H01M10/625 (CN)', 'H01M10/6556 (CN)', 'H01M10/6563 (CN)', 'F17C2221/012 (CN)', 'Y02E60/10 (EP)', 'Y02E60/32 (EP)']",CN
Park integrated energy system energy pricing method based on double-layer game model,"YANG DONGFENG 
HE ZIQIAN 
WANG ZHIWEI 
SUN YONG 
LI BAOJU 
LIU XIAOJUN 
JIANG CHAO 
WANG XI 
ZUO SHENGYU 
WANG QI 
ZHANG YURUN 
WU ZIYANG",UNIV NORTHEAST DIANLI,2023,2023,"['G06N5/04', 'G06Q10/0631', 'G06Q30/0201', 'G06Q50/06']","['G06N5/042 (CN)', 'G06Q10/06315 (CN)', 'G06Q30/0206 (CN)', 'G06Q50/06 (CN)']",CN
Novel lead-acid storage battery of electric vehicle,"JIE NI 
WENSHENG CHEN",ZHEJIANG LUYUAN ELECTRIC VEHICLE CO LTD,2010,2009,"['H01M10/06', 'H01M50/193', 'H01M50/541', 'H01M50/543', 'H01M50/569']",['Y02E60/10 (EP)'],CN
2LITHIUM SECONDARY BATTERY,"ARAI JUNICHI 
KOBAYASHI MITSURU 
YAMAUCHI SHUKO",HITACHI LTD,2002,2001,"['H01M10/40', 'H01M10/05', 'H01M10/052', 'H01M10/0566', 'H01M10/0567', 'H01M10/0569', 'H01M10/36', 'H01M10/42', 'H01M6/16']","['H01M10/05 (EP,US)', 'H01M10/052 (EP,US)', 'H01M10/0525 (KR)', 'H01M10/0566 (EP,US)', 'H01M10/0567 (EP,KR,US)', 'H01M10/0569 (EP,KR,US)', 'H01M10/4235 (EP,US)', 'H01M6/164 (EP,US)', 'B82Y30/00 (KR)', 'H01M10/0525 (EP,US)', 'H01M2300/0034 (EP,US)', 'H01M6/168 (EP,US)', 'Y02E60/10 (EP)', 'Y02T10/70 (US)', 'Y10T29/49108 (EP,US)']",KR
Water supplementing method of lead acid battery of electric vehicle,"DENG YANHU 
YANG CONGLI 
DENG WEI",ANHUI GUOWEI ELECTRIC VEHICLE MFG CO LTD,2017,2016,['H01M10/42'],"['H01M10/4235 (CN)', 'H01M10/4242 (CN)', 'Y02E60/10 (EP)']",CN
Off-grid wind power hydrogen production system and capacity matching method thereof,"TIAN JIANGNAN 
ZHOU JUN 
TU HONG 
LIU JUNMEI 
XU SHUJIAO 
ZHANG TIAN",NORTH CHINA POWER ENG CO LTD,2020,2020,"['C25B1/04', 'C25B9/00', 'H02J3/28', 'H02J3/32', 'H02J3/38']","['C25B1/04 (CN)', 'C25B9/00 (CN)', 'H02J3/28 (CN)', 'H02J3/32 (CN)', 'H02J3/388 (CN)', 'H02J2300/28 (CN)', 'Y02E10/76 (EP)', 'Y02E60/36 (EP)', 'Y02E70/30 (EP)', 'Y02P20/133 (EP)', 'Y02P80/20 (EP)']",CN
Electric vehicle with fuel cell system and fire risk mitigation method,"BANG MADS 
GLENN MARTIN STANILD",BLUE PLANET TECH HOLDINGS,2024,2022,"['B60L50/75', 'H01M8/04089', 'H01M8/0662']",['unkown)'],CN
CONTACTLESS CHARGING SYSTEM,MORIMOTO TAKAHIRO,KAWASAKI HEAVY IND LTD,2011,2009,"['B60L11/18', 'B60L5/00', 'B60M7/00', 'H02J7/00']","['B60L53/12 (EP,US)', 'B60L53/53 (EP,US)', 'B60L53/66 (EP,US)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)']",JP
Mobile fuel cell charging device,SUN HANDONG,SHENYANG DERBON INSTR CO LTD,2014,2014,['H02J7/00'],['unkown)'],CN
A fuel cell mobile charging device,SUN HANDONG,SHENYANG DERBON INSTR CO LTD,2014,2014,['H02J7/00'],['unkown)'],CN
"power battery system, power battery control method and lithium battery pack manufacturing method",ZHANG YINGHUA,ZHANG YINGHUA,2019,2018,"['H01M16/00', 'H02N11/00']","['H01M16/006 (CN)', 'H02N11/002 (CN)', 'H01M2220/20 (CN)', 'H01M2250/20 (CN)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)']",CN
