,position,title,data_cid,link,publication,snippet,type,inline_links,resource,authors
446,7,Retrieval Augmented Generated for Earth Fault Simulation,AqNWpNWKB00J,https://ieeexplore.ieee.org/abstract/document/10882682/,"F Cenreng, R Riantini, SMS Nugroho… - 2024 International …, 2024 - ieeexplore.ieee.org","… LangChain connects various modules and the LLM, which must be opensource and lightweight. Different frameworks are tested for performance, with the most effective one selected. …",,"{'versions': {'cluster_id': '5550557715947234050', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=5550557715947234050&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:AqNWpNWKB00J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'R Riantini', 'id': '4RzULMUAAAAJ', 'link': 'https://scholar.google.com/citations?user=4RzULMUAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'SMS Nugroho', 'id': 'dBFDIUQAAAAJ', 'link': 'https://scholar.google.com/citations?user=dBFDIUQAAAAJ&hl=en&num=20&oi=sra'}]"
447,8,Enhancing large language models with climate resources,Hn2qkxTqef4J,https://arxiv.org/abs/2304.00116,"M Kraus, JA Bingler, M Leippold, T Schimanski… - arXiv preprint arXiv …, 2023 - arxiv.org","… In this work, we build upon the LangChain package.In the LangChain ecosystem, the LLM agent operates by utilizing the ReAct framework. This framework enables the agent to select …",,"{'cited_by': {'cites_id': '18336944731913354526', 'total': 28, 'link': 'https://scholar.google.com/scholar?cites=18336944731913354526&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '18336944731913354526', 'total': 6, 'link': 'https://scholar.google.com/scholar?cluster=18336944731913354526&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:Hn2qkxTqef4J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:Hn2qkxTqef4J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2304.00116'}","[{'name': 'M Kraus', 'id': 'lgVr4w8AAAAJ', 'link': 'https://scholar.google.com/citations?user=lgVr4w8AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'JA Bingler', 'id': 'ZwxL3ywAAAAJ', 'link': 'https://scholar.google.com/citations?user=ZwxL3ywAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'M Leippold', 'id': '-Ta9boQAAAAJ', 'link': 'https://scholar.google.com/citations?user=-Ta9boQAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'T Schimanski', 'id': 'dg8Rxs0AAAAJ', 'link': 'https://scholar.google.com/citations?user=dg8Rxs0AAAAJ&hl=en&num=20&oi=sra'}]"
448,9,RAG 기반 랭체인을 이용한 생성형 AI 챗봇 구현,CdlxsOJQB9YJ,https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE11652073,"조찬영， 강성준， 정현준 - Proceedings of KIIT Conference, 2023 - dbpia.co.kr","… In this paper, we propose a chatbot architecture that uses the Langchain framework, a type of RAG, to solve the hallucination problem. The proposed architecture uses a search model …",,"{'cited_by': {'cites_id': '15422384383506635017', 'total': 4, 'link': 'https://scholar.google.com/scholar?cites=15422384383506635017&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:CdlxsOJQB9YJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
449,10,FACTS About Building Retrieval Augmented Generation-based Chatbots,mrvjwhEVfrgJ,https://arxiv.org/abs/2407.07858,"R Akkiraju, A Xu, D Bora, T Yu, L An, V Seth… - arXiv preprint arXiv …, 2024 - arxiv.org","… Retrieval Augmented Generation (RAG), Large Language Models (LLMs), and orchestration frameworks like Langchain and Llamaindex are crucial for building these chatbots. However…",,"{'cited_by': {'cites_id': '13294086316072614810', 'total': 12, 'link': 'https://scholar.google.com/scholar?cites=13294086316072614810&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '13294086316072614810', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=13294086316072614810&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:mrvjwhEVfrgJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:mrvjwhEVfrgJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2407.07858?'}","[{'name': 'A Xu', 'id': 'ynA6PJQAAAAJ', 'link': 'https://scholar.google.com/citations?user=ynA6PJQAAAAJ&hl=en&num=20&oi=sra'}]"
450,11,Introduction to prompt templates in LangChain,WpM0og5OywAJ,,"H Sahota - Heartbeat, 2023",,CITATION,"{'cited_by': {'cites_id': '57225245030126426', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=57225245030126426&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:WpM0og5OywAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
451,12,A Study on Building an On-Premise RAG System with Information Access Control Capabilities,nODI7PYaHNMJ,https://koreascience.kr/article/JAKO202405557060657.page,"M Jo, J Yang - The Journal of Korea Institute of Information …, 2024 - koreascience.kr",This paper proposes a method for building an On-Premise RAG (Retrieval-Augmented Generation) system that enables efficient information retrieval and generation while meeting …,,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:nODI7PYaHNMJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:nODI7PYaHNMJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'koreascience.kr', 'format': 'PDF', 'link': 'https://koreascience.kr/article/JAKO202405557060657.pdf'}",
452,13,AI Virtual Assistant for Student Disability Services: Implementing RAG-Enhanced Chatbots in Higher Education Support,M1cftypXMTYJ,https://digital.kenyon.edu/dh_iphs_391/6/,"H Sussman, J Chun - 2024 - digital.kenyon.edu",… By using LangChain it is possible to also equip the chatbot with specific accessibility related tools to assist the user. If the chatbot is simply augmenting the work that a staff member …,,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:M1cftypXMTYJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:M1cftypXMTYJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'kenyon.edu', 'format': 'PDF', 'link': 'https://digital.kenyon.edu/cgi/viewcontent.cgi?article=1001&context=dh_iphs_391'}","[{'name': 'J Chun', 'id': 'l-iUHQMAAAAJ', 'link': 'https://scholar.google.com/citations?user=l-iUHQMAAAAJ&hl=en&num=20&oi=sra'}]"
453,14,Langchain problem,yAC4P4U_gGoJ,,M Woolf - 2023,,CITATION,"{'cited_by': {'cites_id': '7674203606571548872', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=7674203606571548872&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:yAC4P4U_gGoJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
454,15,SmartPosture: Real-Time Posture Detection and Feedback System Integrating IoT and Machine Learning,PuMrsPplu6QJ,https://ieeexplore.ieee.org/abstract/document/10932211/,"M Rane, S Mohole, Y Pahade… - … Conference on AIML …, 2025 - ieeexplore.ieee.org","… The system integrates IoT and machine learning, providing recommendations for posture -related advice through a medical chatbot powered by techniques of NLP like Langchain and …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:PuMrsPplu6QJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'M Rane', 'id': 'hrtH-v0AAAAJ', 'link': 'https://scholar.google.com/citations?user=hrtH-v0AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Mohole', 'id': 'CrCd9-AAAAAJ', 'link': 'https://scholar.google.com/citations?user=CrCd9-AAAAAJ&hl=en&num=20&oi=sra'}]"
455,16,A brief guide to LangChain for software developers,XK-N-f-yP2kJ,,MSV Janakiram - 2023 - Aug,,CITATION,"{'cited_by': {'cites_id': '7583977109988421468', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=7583977109988421468&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:XK-N-f-yP2kJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
456,17,GRASP: Municipal Budget AI Chatbots for Enhancing Civic Engagement,WE-v-_vCIkoJ,https://ieeexplore.ieee.org/abstract/document/10825975/,"J Xu, J Wang, J Leung, J Gu - 2024 IEEE International …, 2024 - ieeexplore.ieee.org","… We used LangChain’s Agent framework to implement the agentic workflow with the … ’s AgentExecutor with the agent prompt template, LLM, and LangChain’s OpenAITool…",,"{'versions': {'cluster_id': '5342046495529979736', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=5342046495529979736&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:WE-v-_vCIkoJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2503.23299'}",
457,18,Empowering Domain-Specific Language Models with Graph-Oriented Databases: A Paradigm Shift in Performance and Model Maintenance,pV3zQVCCl6AJ,https://arxiv.org/abs/2410.03867,"R Di Pasquale, S Represa - arXiv preprint arXiv:2410.03867, 2024 - arxiv.org","… The Langchain framework has introduced a highly maintainable approach to working with RAG [6], with a focus on the consumption side. We will explore three possible patterns: …",,"{'cited_by': {'cites_id': '11571861048767241637', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=11571861048767241637&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '11571861048767241637', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=11571861048767241637&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:pV3zQVCCl6AJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:pV3zQVCCl6AJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2410.03867'}","[{'name': 'R Di Pasquale', 'id': 'FSkJFlQAAAAJ', 'link': 'https://scholar.google.com/citations?user=FSkJFlQAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Represa', 'id': 'RjjI5BYAAAAJ', 'link': 'https://scholar.google.com/citations?user=RjjI5BYAAAAJ&hl=en&num=20&oi=sra'}]"
458,19,"Leveraging LangChain and LLM for seamless oracle database queries, August 2023",y8YVIb_rogUJ,,D Kam - 2023,,CITATION,"{'cited_by': {'cites_id': '406146122543122123', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=406146122543122123&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:y8YVIb_rogUJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
459,20,An Alternative Application to CHATGPT that Uses Reliable Sources to Enhance the Learning Process,2BAivIb7V7gJ,https://sciendo.com/pdf/10.2478/kbo-2023-0084,"M Șorecău, E Șorecău - International Conference Knowledge-Based …, 2023 - sciendo.com",… Langchain was also used to integrate OpenAI into the application. LangChain is a powerful … LangChain's advanced features enable LLMs to solve real-world problems more effectively …,PDF,"{'cited_by': {'cites_id': '13283362182053105880', 'total': 10, 'link': 'https://scholar.google.com/scholar?cites=13283362182053105880&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '13283362182053105880', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=13283362182053105880&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:2BAivIb7V7gJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:2BAivIb7V7gJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'sciendo.com', 'format': 'PDF', 'link': 'https://sciendo.com/pdf/10.2478/kbo-2023-0084'}","[{'name': 'M Șorecău', 'id': 'KwxBnTMAAAAJ', 'link': 'https://scholar.google.com/citations?user=KwxBnTMAAAAJ&hl=en&num=20&oi=sra'}]"
460,1,Beyond traditional teaching: Large language models as simulated teaching assistants in computer science,0z5oYWckCe0J,https://dl.acm.org/doi/abs/10.1145/3626252.3630789,"M Liu, F M'hiri - Proceedings of the 55th ACM Technical Symposium on …, 2024 - dl.acm.org","… Foundations of Programming (COMP202), an undergraduate course that introduces students to programming with Python, we have developed a virtual TA using the LangChain …",,"{'cited_by': {'cites_id': '17080223088213769939', 'total': 27, 'link': 'https://scholar.google.com/scholar?cites=17080223088213769939&as_sdt=5,26&sciodt=0,26&hl=en&num=20'}, 'versions': {'cluster_id': '17080223088213769939', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=17080223088213769939&hl=en&num=20&as_sdt=0,26'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:0z5oYWckCe0J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}","{'name': 'archive.org', 'format': 'PDF', 'link': 'https://scholar.archive.org/work/krszacgzxncqxgxbglsn6eflae/access/wayback/https://dl.acm.org/doi/pdf/10.1145/3626252.3630789'}",
461,2,"S3LLM: Large-Scale Scientific Software Understanding with LLMs Using Source, Metadata, and Document",5m01w7U-VFMJ,https://link.springer.com/chapter/10.1007/978-3-031-63759-9_27,"K Shaik, D Wang, W Zheng, Q Cao, H Fan… - International Conference …, 2024 - Springer","… This section demonstrates the effectiveness of combining the RAG framework and LangChain with LLMs, as described in Sect. 2.4, for extracting specific technical information from …",,"{'cited_by': {'cites_id': '6004493153576775142', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=6004493153576775142&as_sdt=5,26&sciodt=0,26&hl=en&num=20'}, 'versions': {'cluster_id': '6004493153576775142', 'total': 7, 'link': 'https://scholar.google.com/scholar?cluster=6004493153576775142&hl=en&num=20&as_sdt=0,26'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:5m01w7U-VFMJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2403.10588'}","[{'name': 'D Wang', 'id': 'zwDm2IsAAAAJ', 'link': 'https://scholar.google.com/citations?user=zwDm2IsAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'W Zheng', 'id': '8vxzvg8AAAAJ', 'link': 'https://scholar.google.com/citations?user=8vxzvg8AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'Q Cao', 'id': 'yrVtoOsAAAAJ', 'link': 'https://scholar.google.com/citations?user=yrVtoOsAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'H Fan', 'id': 'MVQYJiMAAAAJ', 'link': 'https://scholar.google.com/citations?user=MVQYJiMAAAAJ&hl=en&num=20&oi=sra'}]"
462,3,CrisisComm: LLM for Post-Natural Disaster Aid Acquisition,QZ8sdClahe0J,https://core.ac.uk/download/pdf/621339497.pdf#page=252,"V Madhan, P Pandya - Artem Arefev - core.ac.uk","… This is the reasoning behind our implementation of Langchain, an open-source python library that allowed us to create customizable prompts and made it easier to interact with the LLM. …",PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:QZ8sdClahe0J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:QZ8sdClahe0J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,26'}","{'name': 'core.ac.uk', 'format': 'PDF', 'link': 'https://core.ac.uk/download/pdf/621339497.pdf#page=252'}",
463,4,Research on the application of artificial intelligence technology in traditional business intelligence systems,GWR_PsBVThYJ,https://ieeexplore.ieee.org/abstract/document/10698971/,"J Liu, P Liu - 2024 4th International Symposium on Computer …, 2024 - ieeexplore.ieee.org","… The framework used in this article is LangChain. LangChain is an application development … Through frameworks such as LangChain, it is easy to develop Text2SQL applications, …",,"{'cited_by': {'cites_id': '1607316401188463641', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=1607316401188463641&as_sdt=5,26&sciodt=0,26&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:GWR_PsBVThYJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}",,
464,5,Introducing langchain,JwUyhTzaBCQJ,,H Chase,,CITATION,"{'cited_by': {'cites_id': '2595439238739789095', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=2595439238739789095&as_sdt=5,26&sciodt=0,26&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:JwUyhTzaBCQJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}",,
465,6,Introduction to Langchain,J8TgbplQ6mIJ,,H Chase,,CITATION,"{'cited_by': {'cites_id': '7127597980187673639', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=7127597980187673639&as_sdt=5,26&sciodt=0,26&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:J8TgbplQ6mIJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}",,
466,7,Mental Health Chatbot Using Deep Learning and Natural Language Processing,iAITB_ZlC44J,https://ieeexplore.ieee.org/abstract/document/10927008/,"A Oguntimilehin, AF Saka, O Toyin… - 2024 IEEE 5th …, 2024 - ieeexplore.ieee.org","In the present digital age, the exponential growth of mental health assistance online has made information extraction crucial and challenging. To address this, we developed an AI …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:iAITB_ZlC44J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}",,"[{'name': 'A Oguntimilehin', 'id': 'gQaWUyAAAAAJ', 'link': 'https://scholar.google.com/citations?user=gQaWUyAAAAAJ&hl=en&num=20&oi=sra'}]"
467,8,AI 기반 여행 일정 자동 생성 서비스,TLzfl4wZy5sJ,https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE11714827,"오서현， 임지희， 천수진， 허은 - 한국 HCI 학회 학술대회, 2024 - dbpia.co.kr","GPT 를 기반으로 한 Langchain 과 Maps 를사용해 사용자에게 맞춤 여행 계획을 생성하고, 다양한 여행지를 추천하여 정보를 검색하는시간을 단축함으로써 사용자의 시간을 절약한다. …",CITATION,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:TLzfl4wZy5sJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}",,
468,9,Penerapan Merger Retriever pada Question Answering System Hadits,0DXsnON72akJ,http://repository.uin-suska.ac.id/81039/,"R Saputra - SATIN–Sains dan Teknologi Informasi, 2024 - repository.uin-suska.ac.id","… Dengan menggunakan LangChain dan model Gemini-pro, … LangChain dan Gemini-pro memastikan bahwa jawaban … Setuju” dan scoring evaluator LangChain dengan rata-rata 91% …",,"{'versions': {'cluster_id': '12238949679876552144', 'total': 8, 'link': 'https://scholar.google.com/scholar?cluster=12238949679876552144&hl=en&num=20&as_sdt=0,26'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:0DXsnON72akJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26', 'cached_page_link': 'http://scholar.googleusercontent.com/scholar?q=cache:0DXsnON72akJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,26'}","{'name': 'uin-suska.ac.id', 'format': 'PDF', 'link': 'http://repository.uin-suska.ac.id/81039/1/JURNAL%20ROZI%20SAPUTRA.pdf'}",
469,10,LangChain (Version 1.2. 0)[Computer software],ZQc1S8zeZ08J,,H Chase - 2022,,CITATION,"{'cited_by': {'cites_id': '5721786820613965669', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=5721786820613965669&as_sdt=5,26&sciodt=0,26&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:ZQc1S8zeZ08J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}",,
470,11,Optimalisasi Sistem Informasi dengan Implementasi Langchain Chatbot di PT Telkom Indonesia,85ua9793WTsJ,https://repository.its.ac.id/116387/,I Ardana - 2025 - repository.its.ac.id,"… Proyek ini melibatkan pemanfaatan fitur LangChain, seperti … is the implementation of a LangChain-based chatbot to … This project leverages LangChain features such as dynamic …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:85ua9793WTsJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:85ua9793WTsJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,26'}",,
471,12,A Hybrid Text-Image Response System for Enhanced Customer Interaction Using Advanced Deep Learning Models,-65pvALvppcJ,https://ieeexplore.ieee.org/abstract/document/10780311/,"P Ashok, J Pathmanaban, S Rajadurai… - … on Power, Energy …, 2024 - ieeexplore.ieee.org","… Drawing inspiration from recent research, we present a novel approach that leverages the power of Lang chain, Meta's Llama-2-7b chat model, coupled with sentence transformers all-…",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:-65pvALvppcJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}",,"[{'name': 'P Ashok', 'id': 'MtOhVN0AAAAJ', 'link': 'https://scholar.google.com/citations?user=MtOhVN0AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'J Pathmanaban', 'id': 'REMDPcAAAAAJ', 'link': 'https://scholar.google.com/citations?user=REMDPcAAAAAJ&hl=en&num=20&oi=sra'}]"
472,13,Development of a Chatbot to Support an University Institutional Website,b9FFtog3fwoJ,https://ieeexplore.ieee.org/abstract/document/10913604/,"T Sampaio, PF Oliveira, P Matos - … International Conference on …, 2024 - ieeexplore.ieee.org","… To achieve this, modern natural language processing and machine learning technologies such as Streamlit, Langchain, and OpenAI are used. The system includes an automated Web …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:b9FFtog3fwoJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}",,"[{'name': 'P Matos', 'id': 'woAQPU4AAAAJ', 'link': 'https://scholar.google.com/citations?user=woAQPU4AAAAJ&hl=en&num=20&oi=sra'}]"
473,14,Design and Development of Attendance Management and Analysis System using LLM,gH8BH_Mty5sJ,https://irojournals.com/itdw/article/view/6/3/7,"S Gurumoorthy - Journal of Information Technology and Digital …, 2024 - irojournals.com","This research addresses the present issues in attendance management system, including poor faculty user interface when handling large volume of student data and the time-…",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:gH8BH_Mty5sJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:gH8BH_Mty5sJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,26'}",,
474,15,Mobile-Optimized AI-Driven Personalized Learning: A Case Study at Mohammed VI Polytechnic University.,a8TkgeF7OZ8J,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18657923&AN=175711027&h=i%2FAdNy6wXSjOeOxGbd%2BAcSrmuHT5X4BoURhjnP7VTqLgGtJeewyKo5xEFaMEjR9MdFp1iIezDglSE4wk6ogDyw%3D%3D&crl=c,"K Baba, E Faddouli… - International Journal of …, 2024 - search.ebscohost.com","… In summary, LangChain is an innovative framework that enhances the capabilities of language model-driven applications by giving those data awareness and agency, ultimately …",,"{'cited_by': {'cites_id': '11473337734180160619', 'total': 19, 'link': 'https://scholar.google.com/scholar?cites=11473337734180160619&as_sdt=5,26&sciodt=0,26&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:a8TkgeF7OZ8J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26'}",,"[{'name': 'K Baba', 'id': 'gMSzr8oAAAAJ', 'link': 'https://scholar.google.com/citations?user=gMSzr8oAAAAJ&hl=en&num=20&oi=sra'}]"
475,16,NLP-Based Adaptive Tutor: Shaping Personalized Learning Paths,5qBQXsSQP-4J,https://ijitce.org/index.php/ijitce/article/view/972,"MKVVS Rao, Y Sarayu, KR Sri, BR Kiran… - International Journal of …, 2025 - ijitce.org","… Addressing these gaps, this research proposes an NLP-based teaching assistant that utilizes LangChain, FAISS for vector-based document retrieval, and Replicate’s Llama 2 for …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:5qBQXsSQP-4J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:5qBQXsSQP-4J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,26'}","{'name': 'ijitce.org', 'format': 'PDF', 'link': 'https://ijitce.org/index.php/ijitce/article/download/972/860'}",
476,17,Development and Evaluation of a University Chatbot Using Deep Learning: A RAG-Based Approach,JdguQ6ZOsZMJ,https://2024.conversations.ws/wp-content/uploads/2024/11/conv24_fp_28_olawore.pdf,"K Olawore, M McTear, Y Bi - 2024.conversations.ws","In university systems, traditional methods of information retrieval often prove inefficient, leading to frustration among students and staff. This paper presents the development and …",PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:JdguQ6ZOsZMJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:JdguQ6ZOsZMJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,26'}","{'name': 'conversations.ws', 'format': 'PDF', 'link': 'https://2024.conversations.ws/wp-content/uploads/2024/11/conv24_fp_28_olawore.pdf'}","[{'name': 'K Olawore', 'id': 'sPGYUzsAAAAJ', 'link': 'https://scholar.google.com/citations?user=sPGYUzsAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'M McTear', 'id': 'APTzAoIAAAAJ', 'link': 'https://scholar.google.com/citations?user=APTzAoIAAAAJ&hl=en&num=20&oi=sra'}]"
477,18,Natural Language Processing (NLP) Based On Generative AI Using Transformers,7OIHkt1igMoJ,https://dea.lib.unideb.hu/items/394d738d-d58f-4e01-9c89-b0e1e9ba1275,DA Khan - 2024 - dea.lib.unideb.hu,"… Through the utilization of technologies like PyPDF2, python-dotenv, faiss-cpu, Streamlit, and Langchain, a robust NLP framework is constructed. Langchain serves as the cornerstone, …",,"{'versions': {'cluster_id': '14591771496457691884', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=14591771496457691884&hl=en&num=20&as_sdt=0,26'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:7OIHkt1igMoJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,26', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:7OIHkt1igMoJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,26'}",,
