"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"1 résultat trouvé pour ctxt all ""hydrogen"" AND ctxt all ""battery"" AND ctxt all ""electric vehicle"" AND ctxt all ""charging""";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"381";"Power replenishing system of electric automobile";"DONGHUA TONG";"SHANGHAI ZHONGZHI NEWENERGY TECHNOLOGY DEV CO LTD";"CN101875317A";"2009-09-25";"B60L11/18 
B60S5/00 
H02J7/00";"B60L53/11 (EP) 
B60L53/80 (EP) 
B60L58/21 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2010-11-03";"2010-11-03";"043018037";
"382";"Charging station, in particular mobile charging station";"ANDREAS JAN";"ALGOSHARES CO LTD";"CN114248651A";"2020-09-24";"B60L53/50 
B60S5/02";"B60L50/60 (EP,KR) 
B60L50/70 (EP,KR) 
B60L53/11 (EP,KR) 
B60L53/14 (EP,KR,US) 
B60L53/30 (EP,KR) 
B60L53/302 (US) 
B60L53/305 (EP,KR) 
B60L53/50 (CN) 
B60L53/51 (KR,US) 
B60L53/53 (EP,KR) 
B60L53/54 (EP,KR,US) 
B60L53/57 (EP,KR,US) 
B60L53/66 (US) 
B60L53/80 (EP,KR,US) 
B60S5/02 (CN,KR,US) 
B60L2200/12 (KR) 
B60L2200/22 (KR) 
B60L50/71 (EP) 
B60Y2200/91 (KR) 
Y02E60/32 (KR) 
Y02E60/50 (KR) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP,KR) 
Y02T90/12 (EP,KR) 
Y02T90/14 (EP,KR) 
Y02T90/16 (EP,KR) 
Y02T90/40 (EP,KR)";"2022-03-29";"2022-01-04";"078008151";
"383";"Hydrogen cooling low-temperature full superconductive electric vehicle";"YINGJIA XIAO";"YINGJIA XIAO";"CN201427524Y";"2009-04-01";"B60K17/28 
H02K55/00";"Y02T10/64 (EP)";"2010-03-24";"2010-03-24";"042031253";
"384";"Electric vehicle charging and discharging facility nozzle type fire alarm and fire extinguishing system based on detector";"OU HIROSHI 
ZHAO XIAORONG 
LIN JUPENG 
REN KUN 
SHI LIYAN 
YIN BINGSHUAI 
WEN KAI 
HOU LIQUN";"CHINA RAILWAY CONSTR GROUP CO";"CN114191744A";"2021-11-17";"A62C3/07 
A62C3/16 
A62C31/00 
A62C31/28 
A62C37/40 
F24F11/89 
F24F7/08 
G08B17/06 
G08B17/10 
G08B17/12 
H04W4/38";"A62C3/07 (CN) 
A62C3/16 (CN) 
A62C31/005 (CN) 
A62C31/28 (CN) 
A62C37/40 (CN) 
F24F11/89 (CN) 
F24F7/08 (CN) 
G08B17/06 (CN) 
G08B17/10 (CN) 
G08B17/125 (CN) 
H04W4/38 (CN) 
A62C99/0072 (CN) 
F24F2007/001 (CN)";"2022-03-18";"2022-03-18";"080647879";
"385";"High-voltage power distribution system of fuel cell hybrid electric vehicle";"CHENG SONGLIN 
CAI JUN 
YU DEHU 
LIU WEI";"WUHAN DLAGI HIGH TECH AUTOMOTIVE ELECTRIC CO LTD";"CN210000133U";"2019-06-12";"B60L3/00 
B60L58/30";"Y02T90/40 (EP)";"2020-01-31";"2020-01-31";"069309407";
"386";"Nickel-metal hydride battery pack for railway vehicles and operation method thereof";"JIANG ZHIJUN 
WANG JUNYONG 
ZHENG XINGJIE 
YUAN AIDONG 
XU TAO 
YIN LUJUN 
JIANG HAOZHEN 
WU FANG";"BAOTOU HAOMING RARE EARTH NEW POWER SUPPLY TECH CO LTD";"CN112072188A 
CN112072188B";"2020-09-25";"B60L1/00 
H01M10/30 
H01M10/44";"B60L1/00 (CN) 
H01M10/30 (CN) 
H01M10/441 (CN) 
B60L2200/26 (CN) 
Y02T10/70 (EP)";"2020-12-11 
2022-09-20";"2020-12-11";"073682740";
"387";"Vehicle";"WANG RUCHENG 
SHEN YUANLIANG";"BAONENG AUTOMOBILE GROUP CO LTD";"CN214929036U";"2020-12-18";"B60L50/40 
B60L50/70 
B60L50/71";"Y02T10/70 (EP) 
Y02T90/40 (EP)";"2021-11-30";"2021-11-30";"079114607";
"388";"Pressurizing control method and system for vehicle-mounted hydrogen system";"SONG JINXIANG 
WANG BINGHU 
CHEN ZHENGUO 
WU GUANGPING 
WANG BAOLONG 
LIU KANG 
WANG LIN";"ZHONGTONG BUS CO LTD";"CN115158104A 
CN115158104B";"2022-07-18";"B60L58/30";"B60L58/30 (CN)";"2022-10-11 
2023-07-11";"2022-10-11";"083494384";
"389";"Optimal hydrogen consumption control method for fuel cell vehicle";"FU JIANGTAO 
SONG SHUZHONG 
FU ZHUMU";"UNIV HENAN SCIENCE & TECH";"CN111736462A 
CN111736462B";"2020-04-21";"G05B13/04";"G05B13/042 (CN)";"2020-10-02 
2022-09-23";"2020-10-02";"072646940";
"390";"Hydrogen energy power system suitable for electric bicycle";"BAO XIANJUN 
OUYANG XUN 
ZHAO CHENGWANG 
FANG XIAOMING 
CHENG XIAOCUI 
TONG QING 
WU RUIJIE 
WANG LIANGLIANG";"WUHU GUOQING WNERGY CO LTD";"CN204196725U";"2014-11-08";"B60L11/18";"Y02T10/70 (EP)";"2015-03-11";"2015-03-11";"052654717";
"391";"HIGH POWER DENSITY BATTERY FOR PEAK POWER";"BIANCHI GIUSEPPE [IT]";"SERE SRL [IT]";"US5162165A";"1989-07-05";"H01M6/16 
H01M8/10 
H01M8/12 
H01M16/00 
H01M8/02 
H01M8/04 
H01M8/10 
H01M8/18";"B60L50/51 (EP,US) 
B60L50/64 (EP,US) 
B60L58/26 (EP,US) 
B60L58/33 (EP,US) 
B60L58/40 (EP,US) 
H01M16/003 (EP,US) 
H01M8/186 (EP,US) 
B60L2200/36 (EP,US) 
B60L2200/42 (EP,US) 
H01M2300/0082 (EP,US) 
Y02E60/50 (EP,US) 
Y02P90/60 (EP,US) 
Y02T10/70 (EP,US) 
Y02T90/40 (EP,US)";"1992-11-10";"1991-01-06";"011176682";
"392";"VEHICLE, DELIVERY SYSTEM, SERVER, AND PROGRAM FOR DELIVERY SYSTEM";"IKEGAYA KOJI [JP] 
ITO MASAHIRO [JP]";"YAZAKI CORP [JP]";"US2023019029A1";"2021-07-13";"B60L53/54 
B60L53/66 
B60L53/68 
G06Q10/06 
G06Q10/08";"B60K15/03006 (CN) 
B60L53/00 (CN) 
B60L53/10 (CN) 
B60L53/30 (CN) 
B60L53/54 (EP,CN,US) 
B60L53/665 (EP,US) 
B60L53/68 (EP,US) 
B60P3/00 (CN) 
F17C5/00 (EP) 
G06Q10/02 (CN) 
G06Q10/0631 (EP,US) 
G06Q10/08 (EP,US) 
G06Q10/0832 (CN) 
H01M8/04201 (CN) 
H01M8/22 (CN) 
F17C2201/056 (EP) 
F17C2201/058 (EP) 
F17C2221/012 (EP,US) 
F17C2223/0161 (EP) 
F17C2223/033 (EP) 
F17C2250/032 (EP) 
F17C2250/034 (EP) 
F17C2265/066 (EP) 
F17C2270/0139 (EP,US) 
F17C2270/0171 (EP) 
F17C7/02 (US) 
Y02T10/70 (EP)";"2023-01-19";"2023-01-17";"084546900";
"393";"Hydrogen energy unmanned vehicle and unmanned aerial vehicle cooperation system";"JIANG YU 
HU YANAN 
SUN YUMIN";"BEIJING RUOMU YUNXIN TECH CO LTD";"CN215067820U";"2021-07-01";"G05B19/042";"";"2021-12-07";"2021-12-07";"079226766";
"394";"MULTI-INPUT MULTI-OUTPUT RENEWABLE ENERGY SYSTEMS";"SHARPE BARRY [US] 
HADLEY BRIAN [US] 
WALTON CHARLES FREDERICK [US]";"BLOOM ENERGY CORP [US]";"US11820247B2 
US2023133079A1";"2021-11-03";"B60L50/75 
B60L53/54 
B60L58/30 
B60L58/40 
C25B1/04 
H01M8/0656 
H02J3/38 
H02J7/00";"B60L50/75 (EP,US) 
B60L53/54 (EP,US) 
B60L58/30 (EP,US) 
B60L58/40 (EP,US) 
C25B1/04 (EP,US) 
C25B15/00 (EP) 
H01M16/003 (EP) 
H01M16/006 (EP) 
H01M8/0656 (EP,US) 
H01M8/186 (EP) 
H02J15/008 (EP) 
H02J3/381 (EP,US) 
H01M2008/1293 (EP) 
H01M2250/10 (EP) 
H01M2250/20 (EP,US) 
H02J2300/30 (EP,US) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2023-05-04 
2023-11-21";"2023-05-04";"086146075";
"395";"Gas replacement system of fuel cell hybrid electric vehicle and control method thereof";"WANG BO 
WU XINGCHENG 
CHEN MING 
WANG ZIJIAN 
HE CHONG";"DONGFENG MOTOR GROUP CO LTD";"CN113619380A 
CN113619380B";"2021-07-09";"B60K13/02 
B60K13/04 
B60R16/02";"B60K13/02 (CN) 
B60K13/04 (CN) 
B60R16/02 (CN)";"2021-11-09 
2023-07-14";"2021-11-09";"078379441";
"396";"Generator car provided with hydrogen energy fuel cell power generation system";"XU YONGMING 
GAO BO 
ZHANG WEIKANG 
ZHAO YANMIN 
CHANG MING 
XU HAIGANG 
ZHANG CHONGBIAO 
CHEN JINWEI 
LI YUNQIAN 
KE DA";"JIASHAN POWER SUPPLY COMPANY OF STATE GRID ZHEJIANG ELECTRIC POWER CO LTD";"CN115923637A";"2022-11-10";"B60P3/00";"";"2023-04-07";"2023-04-07";"086551534";
"397";"Community direct current micro-grid charging system and method";"HUANG WEI 
LUO KEYING 
WAN QIN 
LIU HAIQIAO 
WANG CHAO 
LI YIKANG";"HUNAN INST ENGINEERING";"CN117863950A";"2024-02-26";"B60L53/10 
B60L53/50 
B60L53/53 
B60L53/62 
B60L53/63 
B60L53/68";"B60L53/11 (CN) 
B60L53/50 (CN) 
B60L53/53 (CN) 
B60L53/62 (CN) 
B60L53/63 (CN) 
B60L53/68 (CN)";"2024-04-12";"2024-04-12";"090588664";
"398";"Energy traffic collaborative optimization method considering clean energy and electric vehicle";"SU JIA 
CHANG XINYUE 
XUE YIXUN";"SHANXI ENERGY INTERNET RES INSTITUTE";"CN117993617A";"2024-02-07";"G06Q10/04 
G06Q10/063 
G06Q50/06 
G06Q50/40";"G06Q10/04 (CN) 
G06Q10/063 (CN) 
G06Q50/06 (CN)";"2024-05-07";"2024-05-07";"090887169";
"399";"HYBRID ELECTRIC AND HYDROGEN DISPENSING SYSTEMS AND METHODS";"POLLICA DARRYL EDWARD [US] 
O'BRIEN CHRISTOPHER JOHN [US] 
GORDON BRYAN [US] 
RAO PRABHU K [US] 
GAFFURI PAUL [US]";"IVYS INC [US]";"US2024042874A1";"2022-07-07";"B60L53/10 
B60L53/122 
B60L53/16 
B60L53/18 
B60L53/63 
B60L53/64 
B60L55/00 
F17C5/06";"B60L53/11 (EP,US) 
B60L53/12 (EP) 
B60L53/122 (US) 
B60L53/16 (EP,US) 
B60L53/18 (US) 
B60L53/31 (EP) 
B60L53/51 (EP) 
B60L53/53 (EP) 
B60L53/54 (EP) 
B60L53/63 (EP,US) 
B60L53/64 (EP,US) 
B60L53/66 (EP) 
B60L53/67 (EP) 
B60L53/68 (EP) 
B60L55/00 (EP,US) 
B60L58/40 (EP) 
F17C5/007 (EP) 
F17C5/06 (EP,US) 
F17C7/00 (EP) 
B60L2210/30 (US) 
B60L2210/44 (US) 
F17C2205/0364 (EP) 
F17C2221/012 (EP,US) 
F17C2223/0123 (EP) 
F17C2223/036 (EP) 
F17C2225/0123 (EP) 
F17C2225/036 (EP) 
F17C2250/032 (EP) 
F17C2250/034 (EP) 
F17C2250/043 (EP) 
F17C2250/0439 (EP) 
F17C2250/0443 (EP) 
F17C2265/065 (EP) 
F17C2270/0139 (EP,US) 
F17C2270/0168 (EP) 
F17C2270/0171 (EP) 
F17C2270/0178 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP)";"2024-02-08";"2024-01-11";"089453954";
"400";"Energy traffic system scheduling method and device considering electricity-to-hydrogen and FCHEV";"WANG JIANXIAO 
ZHANG TIANCE 
LEE KYUNG-EUN 
ZHOU MING 
QI ZHENGQIANG 
WANG ZHIMING 
MENG ZHAN 
WU WEI";"UNIV NORTH CHINA ELECTRIC POWER 
YIXING YINENG IND CO LTD 
NANJING INST TECH";"CN116050041A";"2021-10-26";"G06F30/20 
G06Q10/04 
G06Q50/30 
G06F111/04";"G06F30/20 (CN) 
G06Q10/04 (CN) 
G06Q50/40 (CN) 
G06F2111/04 (CN)";"2023-05-02";"2023-05-02";"086115037";
"401";"Solar energy wireless fills electric pile";"ZHAO QI";"HANERGY LIANCHUANG MOBILE ENERGY INVEST CO LTD";"CN206180602U";"2016-07-13";"B60L11/18 
H02J7/00";"Y02T10/70 (EP) 
Y02T90/16 (EP) 
Y02T90/167 (EP) 
Y04S30/12 (EP)";"2017-05-17";"2017-05-17";"058673808";
"402";"HYBRID ELECTRIC VEHICLE AND METHODS OF PRODUCTION";"GOODWIN JOHNATHAN [US] 
KRUGER ULI [AU] 
YOUNG NEIL [US]";"";"US2009250276A1";"2008-02-13";"B60L50/15 
B60W10/04 
B60W10/24 
B60W20/00 
F16H3/74";"B60K6/28 (EP,US) 
B60K6/46 (EP,US) 
B60L15/20 (EP,US) 
B60L3/0023 (EP,US) 
B60L50/40 (EP,US) 
B60L50/62 (EP,US) 
B60L58/12 (EP,US) 
B60L7/10 (EP,US) 
B60W10/26 (EP,US) 
B60L2240/36 (EP,US) 
B60L2270/145 (EP,US) 
B60Y2400/114 (EP,US) 
Y02T10/62 (EP,US) 
Y02T10/64 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (US) 
Y02T10/72 (EP,US)";"2009-10-08";"2009-08-20";"040547553";
"403";"Commercial vehicle with fuel cell adopting methanol reforming for hydrogen production";"CHEN LIJUN 
YU HAIYANG 
QU WANDA 
ZHAO QIANG";"FAW JIEFANG AUTOMOTIVE CO";"CN112599816A";"2020-12-08";"B60L50/72 
H01M8/04082 
H01M8/0612";"B60L50/72 (CN) 
H01M8/04201 (CN) 
H01M8/04216 (CN) 
H01M8/0618 (CN) 
H01M8/0625 (CN) 
Y02E60/50 (EP) 
Y02T90/40 (EP)";"2021-04-02";"2021-04-02";"075192468";
"404";"OFFSHORE STATION, MOBILE CHARGING STATION, POWER FEEDING SYSTEM, POWER FEEDING METHOD, AND PROGRAM";"TANI TOSHIHIRO 
ITO EIKI 
SUGIHARA KOKI";"MITSUBISHI HEAVY IND LTD";"JP2022072202A";"2020-10-29";"B63B35/00 
B63C11/00 
B63C11/48 
G05D1/00 
H02J15/00 
H02J7/35";"Y02E70/30 (EP)";"2022-05-17";"2022-05-17";"081604375";
"405";"DISPOSITIF MOBILE HYDRAULIQUE DE CHARGEMENT DE MOYENS DE TRANSPORT ÉLECTRIQUES";"LASHIN DMITRII ALEKSANDROVICH [RU]";"LASHIN DMITRII ALEKSANDROVICH [RU]";"WO2024019633A1";"2022-07-22";"B60K15/03 
B60L53/50 
B60L58/22 
B60L58/24 
B63B35/00";"B60K15/03 (EP) 
B60L53/50 (EP) 
B60L58/22 (EP) 
B60L58/24 (EP) 
B63B35/00 (EP)";"2024-01-25";"2024-01-25";"089618382";
"406";"HYDROGEN STORAGE ALLOY, ITS PRODUCING METHOD AND SECONDARY BATTERY AND ELECTRIC VEHICLE USING THE SAME";"KAWASHIMA FUMIYUKI 
ARAI TOMOHISA";"TOSHIBA CORP";"JP2001107165A 
JP4659936B2";"1999-09-30";"B22D11/06 
C22C19/00 
H01M10/30 
H01M4/24 
B22D11/06 
C22C19/00 
H01M10/30 
H01M4/24 
H01M4/38";"Y02E60/10 (EP)";"2001-04-17 
2011-03-30";"2001-04-17";"017626968";
"407";"Distributed new energy charging pile and hydrogen refueling station";"LU YUZHENG 
LI JUNJIAO 
DONG YIWANG";"LU YUZHENG";"CN105576803A";"2016-02-17";"C25B1/04 
H02J7/35";"C25B1/04 (CN) 
H02J7/35 (CN) 
Y02E10/56 (EP) 
Y02E10/76 (EP) 
Y02E60/36 (EP) 
Y02P20/133 (EP)";"2016-05-11";"2016-05-11";"055886618";
"408";"Hydrogen-electricity-heat multi-energy-flow micro-grid scheduling optimization method considering new energy automobile load";"XIE CHANGJUN 
ZHOU XIANYI 
DU BANGHUA 
YANG YANG 
ZHU WENCHAO 
WANG ZHEWEI 
WANG HAN 
YANG WENLONG 
LI XIZHI 
CAO JUNHUI 
LI ZIHAO";"UNIV WUHAN TECH";"CN117952354A";"2024-01-09";"G06Q10/0631 
G06Q50/06";"G06Q10/06312 (CN) 
G06Q10/06313 (CN) 
G06Q50/06 (CN)";"2024-04-30";"2024-04-30";"090793811";
"409";"Bidirectional wireless charging system of hydrogen-electricity hybrid power unmanned aerial vehicle and control method";"JIANG JINHAI 
YANG FENGSHUO 
SONG KAI 
ZHOU JIALONG 
LAN YU 
ZHANG QINGXUAN 
SUN CHUANYU";"HARBIN INST TECHNOLOGY";"CN117559671A";"2023-11-23";"B60L53/12 
B64U50/35 
H02J50/12 
H02J50/80 
H02J7/00 
H02J7/34 
H02M1/088 
H02M3/00 
H02M3/335";"B60L53/12 (CN) 
B64U50/35 (CN) 
H02J50/12 (CN) 
H02J50/80 (CN) 
H02J7/00032 (CN) 
H02J7/0063 (CN) 
H02J7/0068 (CN) 
H02J7/00712 (CN) 
H02J7/342 (CN) 
H02M1/088 (CN) 
H02M3/01 (CN) 
H02M3/33573 (CN) 
H02M3/33584 (CN) 
B60L2200/10 (CN) 
Y02T10/70 (EP) 
Y02T90/14 (EP)";"2024-02-13";"2024-02-13";"089821501";
"410";"Electric vehicle driving system and electric vehicle";"ROLAND GONBO";"AIWAYS AUTO CO LTD";"CN208827571U";"2018-09-27";"B60K1/02 
B60K1/04 
B60L50/60 
B60L50/70";"Y02T10/70 (EP) 
Y02T90/40 (EP)";"2019-05-07";"2019-05-07";"066317018";
"411";"Method and system for multi-energy flow management and control of road traffic energy system";"WANG LEI 
LI YOU 
ZHU ZHENDE 
LIAN TAO 
SHI FENGJIE 
DU XIAOYUN 
ZHANG ZHANFENG 
ZHANG WEIPING 
SU SU 
XIA MINGCHAO 
LIU QIUJIANG 
NIE XIAOBO 
CHEN QIFANG 
REN PENGPENG 
WEI CUNHAO 
WANG PENG";"CCCC MECH & ELEC ENG CO LTD 
UNIV BEIJING JIAOTONG";"CN118300189A";"2024-02-27";"G06F30/20 
G06Q10/04 
G06Q30/0201 
G06Q50/06 
G06Q50/26 
H02J3/28 
H02J3/32 
H02J3/46 
G06F111/04";"G06F30/20 (CN) 
G06Q10/04 (CN) 
G06Q30/0206 (CN) 
G06Q50/06 (CN) 
G06Q50/26 (CN) 
H02J3/28 (CN) 
H02J3/32 (CN) 
H02J3/466 (CN) 
G06F2111/04 (CN) 
H02J2203/20 (CN) 
H02J2300/20 (CN) 
H02J2300/40 (CN)";"2024-07-05";"2024-07-05";"091687104";
"412";"ALLOCATION SYSTEM FOR TRANSPORT VEHICLES";"NAKAMURA MASASHI 
HAYAKAWA TOMOHIRO 
OURA JUNICHI 
MISAIJI YUKI 
IWAMOTO MASAHIRO 
KATAOKA TAKAO 
HAYASHI TATSUYUKI 
MORIMOTO SAKI";"TOYOTA MOTOR CORP";"JP2023056859A 
JP7582153B2";"2021-10-08";"B60L15/20 
G08G1/123 
G16Y10/40 
G16Y40/30";"";"2023-04-20 
2024-11-13";"2023-04-20";"086004882";
"413";"Multi-objective optimization hydrogen fuel cell hybrid electric vehicle energy management method";"FU ZHUMU 
WANG XIUJU 
TAO FAZHAN 
SONG SHUZHONG 
CHEN QIHONG 
GAO AIYUN 
JIAO LONGYIN 
ZHANG DONGKAI 
SI PENGJU";"UNIV HENAN SCIENCE & TECH";"CN115091972A";"2022-06-30";"B60L50/40 
B60L50/75 
G06K9/62 
G06N3/08";"B60L50/40 (CN) 
B60L50/75 (CN) 
G06N3/08 (CN) 
Y02T10/84 (EP)";"2022-09-23";"2022-09-23";"083295617";
"414";"Extended range type pure electric vehicle system";"XIAOWEI LIU 
LINLIN JIANG 
MINGMING ZHOU 
LONGRUI ZHOU";"CHIWEE POWER CO LTD";"CN201872629U";"2010-10-14";"B60L1/00 
B60L11/18 
B60R16/02";"Y02T10/70 (EP) 
Y02T10/72 (EP)";"2011-06-22";"2011-06-22";"044160561";
"415";"HYDROGEN STATION";"YOSHIHARA KAZUO";"YOSHIHARA KAZUO";"JP2022123904A";"2021-02-13";"F17C13/02 
F17C5/06 
G06Q50/06 
H01M8/00 
H01M8/04 
H02J3/00 
H02J3/38";"Y02T90/40 (EP)";"2022-08-25";"2022-08-25";"082941482";
"416";"Fuel cell logistics vehicle";"TIAN JIANGUO 
LIU ZHONGMING 
MENG QINGSHU 
LI YANG 
WENG FUJIAN 
GAO SHUNLAI";"LIAOCHENG ZHONGTONG LIGHT BUS CO LTD";"CN212219927U";"2020-05-22";"B60L50/75 
B60L53/16 
B60L58/26 
B60L58/34";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2020-12-25";"2020-12-25";"073929854";
"417";"Rescue device for hydrogen fuel cell vehicle and electronic equipment";"SHEN SIJIA 
ZHAO QIANG 
WANG XINYU 
ZHAO CHAOSHAN 
TANG XIAOLONG 
GUO QINGXIANG";"WEICHAI POWER CO LTD 
WEICHAI NEW ENERGY TECH CO LTD";"CN217672575U";"2022-06-23";"B60S5/00 
F17C13/00";"";"2022-10-28";"2022-10-28";"083711221";
"418";"Electric car power battery system and control method";"XIANG JIN 
YU HUIGEN 
YANG CHONGKE 
LI YUJUN 
SHENG JUN";"BAIC BJEV CO LTD";"CN106183855A 
CN106183855B";"2016-07-25";"B60L11/18 
H01M10/615 
H01M10/625";"B60L58/27 (CN) 
B60L58/30 (CN) 
H01M10/615 (CN) 
H01M10/625 (CN) 
Y02E60/10 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2016-12-07 
2018-10-16";"2016-12-07";"057495035";
"419";"BATTERY CONTROL METHOD FOR GENERATOR TYPE ELECTRIC AUTOMOBILE";"KOBAYASHI TETSUYA 
YAMASHITA TAKASHI 
KAWAI TOSHIYUKI";"DENSO CORP 
NIPPON SOKEN";"JP2000261905A 
JP3738363B2";"1999-03-05";"B60K6/00 
B60K8/00 
B60L11/12 
B60L3/00 
F02D29/06 
G01R31/36 
H02J7/00 
H02J7/34 
B60K6/20 
B60K6/28 
B60K6/445 
B60K8/00 
B60L3/00 
B60L50/15 
B60W10/26 
B60W20/00 
B60W20/13 
F02D29/06 
G01R31/36 
H02J7/00 
H02J7/34";"Y02T10/62 (EP) 
Y02T10/70 (EP)";"2000-09-22 
2006-01-25";"2000-09-22";"013109653";
"420";"Fire extinguishing system of electric vehicle charging and discharging facility using fireproof unit wall";"OU HIROSHI 
LI YING 
MA LI 
CHEN JING 
LI XIAOGE 
ZHANG LEI 
HOU LIQUN 
ZHANG YAQI 
SHI LIYAN 
GUO WEI 
YIN BINGSHUAI";"CHINA RAILWAY CONSTR GROUP CO";"CN114272528A";"2021-11-17";"A62C3/07 
A62C3/16 
A62C31/00 
A62C31/28 
A62C37/00";"Y02T90/167 (EP) 
Y04S30/12 (EP)";"2022-04-05";"2022-04-05";"080869329";
"421";"Chassis structure of double-hydrogen fuel cell engine tractor";"SONG YANBAO 
ZHAO YAN 
YIN GUOMU 
WANG KAI 
XIE YUAN";"SINO TRUK JINAN POWER CO LTD";"CN119099373A";"2024-10-15";"B60K1/00 
B60K1/04 
B60K15/07 
B60K17/04 
B60L50/71 
B60L58/33 
B60R16/02";"B60K1/00 (CN) 
B60K1/04 (CN) 
B60K15/07 (CN) 
B60K17/04 (CN) 
B60L50/71 (CN) 
B60L58/33 (CN) 
B60R16/0215 (CN)";"2024-12-10";"2024-12-10";"093720026";
"422";"DELIVERY CHARGER FOR ELECTRIC VEHICLE";"MOORE MICHAEL [US] 
BRANSON JON [US] 
STEFFENS GREG [US] 
VERHAGEN JEFF [US]";"OSHKOSH CORP [US]";"US11878599B2 
US2023311682A1";"2022-03-31";"B60L53/18 
B60L53/50 
B60L53/53 
B60L53/54 
B60L53/00";"B60K1/04 (EP) 
B60L50/15 (EP) 
B60L53/18 (US) 
B60L53/50 (US) 
B60L53/53 (US) 
B60L53/54 (US) 
B60K2001/0405 (EP) 
B60K2016/003 (EP) 
B60Y2200/1422 (EP) 
B60Y2200/144 (EP) 
B60Y2200/15 (EP) 
B60Y2400/202 (EP) 
B60Y2400/204 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP)";"2023-10-05 
2024-01-23";"2023-10-05";"088195330";
"423";"New energy power supply vehicle";"CHEN LIJUN 
ZHU XU 
QU WANDA 
ZHANG YANHUI 
ZHANG GUODONG 
ZHAO QIANG";"FAW JIEFANG AUTOMOTIVE CO";"CN110803091A";"2019-11-25";"B60L53/16 
B60L53/31 
B60L53/54 
B60P3/00";"B60L53/16 (CN) 
B60L53/31 (CN) 
B60L53/54 (CN) 
B60P3/00 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP)";"2020-02-18";"2020-02-18";"069491472";
"424";"ELECTRIC POWER SUPPLY DEVICE";"SUZUKI TAKEAKI [JP] 
MIYASHITA MICHIHIRO [JP] 
ESHIMA KAZUHITO [JP] 
NATE HIROSHI [JP] 
HORITAKE SUNAO [JP]";"TOYOTA MOTOR CO LTD [JP]";"US10155491B2 
US2016039370A1";"2014-08-06";"B60L11/18 
B60R16/033 
B60L1/00 
B60L15/20 
B60L3/00 
B60L7/26 
B60W10/00";"B60L1/00 (EP,US) 
B60L15/2009 (EP,US) 
B60L3/003 (EP,US) 
B60L3/0046 (US) 
B60L53/00 (EP,RU,US) 
B60L58/14 (EP,US) 
B60L58/15 (EP,US) 
B60L58/18 (EP) 
B60L58/20 (EP,RU,US) 
B60L7/26 (EP,US) 
B60R16/03 (CN) 
B60R16/033 (CN,US) 
B60W10/00 (US) 
H02J7/04 (RU) 
Y02T10/64 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP) 
Y02T10/72 (EP,US) 
Y02T90/14 (EP)";"2016-02-11 
2018-12-18";"2016-02-10";"053783155";
"425";"Solid hydrogen storage bottle for hydrogen energy vehicle and hydrogen-electricity hybrid energy two-wheeled vehicle";"GAO ZHIJIE 
LI HAIWEN 
LI YONGTAO";"UNIV BINZHOU";"CN117515409A";"2023-03-10";"F17C11/00 
F17C13/02 
F17C13/04";"F17C11/005 (CN) 
F17C13/02 (CN) 
F17C13/04 (CN) 
F17C2205/0323 (CN) 
F17C2221/012 (CN) 
F17C2223/0138 (CN) 
F17C2227/03 (CN) 
F17C2250/0404 (CN) 
F17C2270/0184 (CN)";"2024-02-06";"2024-02-06";"089748358";
"426";"Electric vehicle charging station with multiple alternating current power supply ports and multiple direct current buses";"LI JIN 
JIAO NANA 
FAN YUSHUN 
DANG ENSHUAI";"UNIV SHANGHAI ELECTRIC POWER";"CN113428028A";"2021-07-20";"B60L53/30 
B60L53/60";"B60L53/30 (CN) 
B60L53/60 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP)";"2021-09-24";"2021-09-24";"077761088";
