No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,family_jurisdictions,family_members
408,Hydrogen-electricity-heat multi-energy-flow micro-grid scheduling optimization method considering new energy automobile load,"XIE CHANGJUN 
ZHOU XIANYI 
DU BANGHUA 
YANG YANG 
ZHU WENCHAO 
WANG ZHEWEI 
WANG HAN 
YANG WENLONG 
LI XIZHI 
CAO JUNHUI 
LI ZIHAO",UNIV WUHAN TECH,CN117952354A,2024-01-09,"['G06Q10/0631', 'G06Q50/06']","['G06Q10/06312 (CN)', 'G06Q10/06313 (CN)', 'G06Q50/06 (CN)']",2024-04-30,2024-04-30,90793811,2024-04-30,,CN117952354A,,CN,,2024,2024,,['CN'],['CN117952354A']
409,Bidirectional wireless charging system of hydrogen-electricity hybrid power unmanned aerial vehicle and control method,"JIANG JINHAI 
YANG FENGSHUO 
SONG KAI 
ZHOU JIALONG 
LAN YU 
ZHANG QINGXUAN 
SUN CHUANYU",HARBIN INST TECHNOLOGY,CN117559671A,2023-11-23,"['B60L53/12', 'B64U50/35', 'H02J50/12', 'H02J50/80', 'H02J7/00', 'H02J7/34', 'H02M1/088', 'H02M3/00', 'H02M3/335']","['B60L53/12 (CN)', 'B64U50/35 (CN)', 'H02J50/12 (CN)', 'H02J50/80 (CN)', 'H02J7/00032 (CN)', 'H02J7/0063 (CN)', 'H02J7/0068 (CN)', 'H02J7/00712 (CN)', 'H02J7/342 (CN)', 'H02M1/088 (CN)', 'H02M3/01 (CN)', 'H02M3/33573 (CN)', 'H02M3/33584 (CN)', 'B60L2200/10 (CN)', 'Y02T10/70 (EP)', 'Y02T90/14 (EP)']",2024-02-13,2024-02-13,89821501,2024-02-13,,CN117559671A,,CN,,2024,2023,,['CN'],['CN117559671A']
410,Electric vehicle driving system and electric vehicle,ROLAND GONBO,AIWAYS AUTO CO LTD,CN208827571U,2018-09-27,"['B60K1/02', 'B60K1/04', 'B60L50/60', 'B60L50/70']","['Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2019-05-07,2019-05-07,66317018,2019-05-07,,CN208827571U,,CN,,2019,2018,,['CN'],['CN208827571U']
411,Method and system for multi-energy flow management and control of road traffic energy system,"WANG LEI 
LI YOU 
ZHU ZHENDE 
LIAN TAO 
SHI FENGJIE 
DU XIAOYUN 
ZHANG ZHANFENG 
ZHANG WEIPING 
SU SU 
XIA MINGCHAO 
LIU QIUJIANG 
NIE XIAOBO 
CHEN QIFANG 
REN PENGPENG 
WEI CUNHAO 
WANG PENG","CCCC MECH & ELEC ENG CO LTD 
UNIV BEIJING JIAOTONG",CN118300189A,2024-02-27,"['G06F30/20', 'G06Q10/04', 'G06Q30/0201', 'G06Q50/06', 'G06Q50/26', 'H02J3/28', 'H02J3/32', 'H02J3/46', 'G06F111/04']","['G06F30/20 (CN)', 'G06Q10/04 (CN)', 'G06Q30/0206 (CN)', 'G06Q50/06 (CN)', 'G06Q50/26 (CN)', 'H02J3/28 (CN)', 'H02J3/32 (CN)', 'H02J3/466 (CN)', 'G06F2111/04 (CN)', 'H02J2203/20 (CN)', 'H02J2300/20 (CN)', 'H02J2300/40 (CN)']",2024-07-05,2024-07-05,91687104,2024-07-05,,CN118300189A,,CN,,2024,2024,,['CN'],['CN118300189A']
412,ALLOCATION SYSTEM FOR TRANSPORT VEHICLES,"NAKAMURA MASASHI 
HAYAKAWA TOMOHIRO 
OURA JUNICHI 
MISAIJI YUKI 
IWAMOTO MASAHIRO 
KATAOKA TAKAO 
HAYASHI TATSUYUKI 
MORIMOTO SAKI",TOYOTA MOTOR CORP,"JP2023056859A 
JP7582153B2",2021-10-08,"['B60L15/20', 'G08G1/123', 'G16Y10/40', 'G16Y40/30']",['unkown)'],"2023-04-20 
2024-11-13",2023-04-20,86004882,2023-04-20,2024-11-13,JP2023056859A,"
JP7582153B2",JP,"
",2023,2021,,['JP'],"['JP2023056859A', 'JP7582153B2']"
413,Multi-objective optimization hydrogen fuel cell hybrid electric vehicle energy management method,"FU ZHUMU 
WANG XIUJU 
TAO FAZHAN 
SONG SHUZHONG 
CHEN QIHONG 
GAO AIYUN 
JIAO LONGYIN 
ZHANG DONGKAI 
SI PENGJU",UNIV HENAN SCIENCE & TECH,CN115091972A,2022-06-30,"['B60L50/40', 'B60L50/75', 'G06K9/62', 'G06N3/08']","['B60L50/40 (CN)', 'B60L50/75 (CN)', 'G06N3/08 (CN)', 'Y02T10/84 (EP)']",2022-09-23,2022-09-23,83295617,2022-09-23,,CN115091972A,,CN,,2022,2022,,['CN'],['CN115091972A']
414,Extended range type pure electric vehicle system,"XIAOWEI LIU 
LINLIN JIANG 
MINGMING ZHOU 
LONGRUI ZHOU",CHIWEE POWER CO LTD,CN201872629U,2010-10-14,"['B60L1/00', 'B60L11/18', 'B60R16/02']","['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2011-06-22,2011-06-22,44160561,2011-06-22,,CN201872629U,,CN,,2011,2010,,['CN'],['CN201872629U']
415,HYDROGEN STATION,YOSHIHARA KAZUO,YOSHIHARA KAZUO,JP2022123904A,2021-02-13,"['F17C13/02', 'F17C5/06', 'G06Q50/06', 'H01M8/00', 'H01M8/04', 'H02J3/00', 'H02J3/38']",['Y02T90/40 (EP)'],2022-08-25,2022-08-25,82941482,2022-08-25,,JP2022123904A,,JP,,2022,2021,,['JP'],['JP2022123904A']
416,Fuel cell logistics vehicle,"TIAN JIANGUO 
LIU ZHONGMING 
MENG QINGSHU 
LI YANG 
WENG FUJIAN 
GAO SHUNLAI",LIAOCHENG ZHONGTONG LIGHT BUS CO LTD,CN212219927U,2020-05-22,"['B60L50/75', 'B60L53/16', 'B60L58/26', 'B60L58/34']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP)']",2020-12-25,2020-12-25,73929854,2020-12-25,,CN212219927U,,CN,,2020,2020,,['CN'],['CN212219927U']
417,Rescue device for hydrogen fuel cell vehicle and electronic equipment,"SHEN SIJIA 
ZHAO QIANG 
WANG XINYU 
ZHAO CHAOSHAN 
TANG XIAOLONG 
GUO QINGXIANG","WEICHAI POWER CO LTD 
WEICHAI NEW ENERGY TECH CO LTD",CN217672575U,2022-06-23,"['B60S5/00', 'F17C13/00']",['unkown)'],2022-10-28,2022-10-28,83711221,2022-10-28,,CN217672575U,,CN,,2022,2022,,['CN'],['CN217672575U']
418,Electric car power battery system and control method,"XIANG JIN 
YU HUIGEN 
YANG CHONGKE 
LI YUJUN 
SHENG JUN",BAIC BJEV CO LTD,"CN106183855A 
CN106183855B",2016-07-25,"['B60L11/18', 'H01M10/615', 'H01M10/625']","['B60L58/27 (CN)', 'B60L58/30 (CN)', 'H01M10/615 (CN)', 'H01M10/625 (CN)', 'Y02E60/10 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']","2016-12-07 
2018-10-16",2016-12-07,57495035,2016-12-07,2018-10-16,CN106183855A,"
CN106183855B",CN,"
",2016,2016,,['CN'],"['CN106183855A', 'CN106183855B']"
419,BATTERY CONTROL METHOD FOR GENERATOR TYPE ELECTRIC AUTOMOBILE,"KOBAYASHI TETSUYA 
YAMASHITA TAKASHI 
KAWAI TOSHIYUKI","DENSO CORP 
NIPPON SOKEN","JP2000261905A 
JP3738363B2",1999-03-05,"['B60K6/00', 'B60K8/00', 'B60L11/12', 'B60L3/00', 'F02D29/06', 'G01R31/36', 'H02J7/00', 'H02J7/34', 'B60K6/20', 'B60K6/28', 'B60K6/445', 'B60K8/00', 'B60L3/00', 'B60L50/15', 'B60W10/26', 'B60W20/00', 'B60W20/13', 'F02D29/06', 'G01R31/36', 'H02J7/00', 'H02J7/34']","['Y02T10/62 (EP)', 'Y02T10/70 (EP)']","2000-09-22 
2006-01-25",2000-09-22,13109653,2000-09-22,2006-01-25,JP2000261905A,"
JP3738363B2",JP,"
",2000,1999,,"['JP', 'US']","['JP2000261905A', 'JP2000312404A', 'JP2001177918A', 'JP3738363B2', 'JP3865189B2', 'JP4433535B2', 'US6232744B1']"
420,Fire extinguishing system of electric vehicle charging and discharging facility using fireproof unit wall,"OU HIROSHI 
LI YING 
MA LI 
CHEN JING 
LI XIAOGE 
ZHANG LEI 
HOU LIQUN 
ZHANG YAQI 
SHI LIYAN 
GUO WEI 
YIN BINGSHUAI",CHINA RAILWAY CONSTR GROUP CO,CN114272528A,2021-11-17,"['A62C3/07', 'A62C3/16', 'A62C31/00', 'A62C31/28', 'A62C37/00']","['Y02T90/167 (EP)', 'Y04S30/12 (EP)']",2022-04-05,2022-04-05,80869329,2022-04-05,,CN114272528A,,CN,,2022,2021,,['CN'],['CN114272528A']
421,Chassis structure of double-hydrogen fuel cell engine tractor,"SONG YANBAO 
ZHAO YAN 
YIN GUOMU 
WANG KAI 
XIE YUAN",SINO TRUK JINAN POWER CO LTD,CN119099373A,2024-10-15,"['B60K1/00', 'B60K1/04', 'B60K15/07', 'B60K17/04', 'B60L50/71', 'B60L58/33', 'B60R16/02']","['B60K1/00 (CN)', 'B60K1/04 (CN)', 'B60K15/07 (CN)', 'B60K17/04 (CN)', 'B60L50/71 (CN)', 'B60L58/33 (CN)', 'B60R16/0215 (CN)']",2024-12-10,2024-12-10,93720026,2024-12-10,,CN119099373A,,CN,,2024,2024,,['CN'],['CN119099373A']
422,DELIVERY CHARGER FOR ELECTRIC VEHICLE,"MOORE MICHAEL [US] 
BRANSON JON [US] 
STEFFENS GREG [US] 
VERHAGEN JEFF [US]",OSHKOSH CORP [US],"US11878599B2 
US2023311682A1",2022-03-31,"['B60L53/18', 'B60L53/50', 'B60L53/53', 'B60L53/54', 'B60L53/00']","['B60K1/04 (EP)', 'B60L50/15 (EP)', 'B60L53/18 (US)', 'B60L53/50 (US)', 'B60L53/53 (US)', 'B60L53/54 (US)', 'B60K2001/0405 (EP)', 'B60K2016/003 (EP)', 'B60Y2200/1422 (EP)', 'B60Y2200/144 (EP)', 'B60Y2200/15 (EP)', 'B60Y2400/202 (EP)', 'B60Y2400/204 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)']","2023-10-05 
2024-01-23",2023-10-05,88195330,2023-10-05,2024-01-23,US11878599B2,"
US2023311682A1",US,"
",2023,2022,US,['US'],"['US11878599B2', 'US2023311682A1', 'US2024100977A1']"
423,New energy power supply vehicle,"CHEN LIJUN 
ZHU XU 
QU WANDA 
ZHANG YANHUI 
ZHANG GUODONG 
ZHAO QIANG",FAW JIEFANG AUTOMOTIVE CO,CN110803091A,2019-11-25,"['B60L53/16', 'B60L53/31', 'B60L53/54', 'B60P3/00']","['B60L53/16 (CN)', 'B60L53/31 (CN)', 'B60L53/54 (CN)', 'B60P3/00 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",2020-02-18,2020-02-18,69491472,2020-02-18,,CN110803091A,,CN,,2020,2019,,['CN'],['CN110803091A']
424,ELECTRIC POWER SUPPLY DEVICE,"SUZUKI TAKEAKI [JP] 
MIYASHITA MICHIHIRO [JP] 
ESHIMA KAZUHITO [JP] 
NATE HIROSHI [JP] 
HORITAKE SUNAO [JP]",TOYOTA MOTOR CO LTD [JP],"US10155491B2 
US2016039370A1",2014-08-06,"['B60L11/18', 'B60R16/033', 'B60L1/00', 'B60L15/20', 'B60L3/00', 'B60L7/26', 'B60W10/00']","['B60L1/00 (EP,US)', 'B60L15/2009 (EP,US)', 'B60L3/003 (EP,US)', 'B60L3/0046 (US)', 'B60L53/00 (EP,RU,US)', 'B60L58/14 (EP,US)', 'B60L58/15 (EP,US)', 'B60L58/18 (EP)', 'B60L58/20 (EP,RU,US)', 'B60L7/26 (EP,US)', 'B60R16/03 (CN)', 'B60R16/033 (CN,US)', 'B60W10/00 (US)', 'H02J7/04 (RU)', 'Y02T10/64 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP,US)', 'Y02T90/14 (EP)']","2016-02-11 
2018-12-18",2016-02-10,53783155,2016-02-11,2018-12-18,US10155491B2,"
US2016039370A1",US,"
",2016,2014,JP,"['AU', 'CN', 'EP', 'JP', 'KR', 'RU', 'SA', 'US']","['AU2015210407A1', 'AU2015210407B2', 'CN105365713A', 'CN105365713B', 'EP2982536A1', 'EP2982536B1', 'JP2016039770A', 'JP6191575B2', 'KR101924252B1', 'KR20160017632A', 'RU2015132746A', 'RU2627234C2', 'SA115360687B1', 'US10155491B2', 'US2016039370A1']"
425,Solid hydrogen storage bottle for hydrogen energy vehicle and hydrogen-electricity hybrid energy two-wheeled vehicle,"GAO ZHIJIE 
LI HAIWEN 
LI YONGTAO",UNIV BINZHOU,CN117515409A,2023-03-10,"['F17C11/00', 'F17C13/02', 'F17C13/04']","['F17C11/005 (CN)', 'F17C13/02 (CN)', 'F17C13/04 (CN)', 'F17C2205/0323 (CN)', 'F17C2221/012 (CN)', 'F17C2223/0138 (CN)', 'F17C2227/03 (CN)', 'F17C2250/0404 (CN)', 'F17C2270/0184 (CN)']",2024-02-06,2024-02-06,89748358,2024-02-06,,CN117515409A,,CN,,2024,2023,,['CN'],['CN117515409A']
426,Electric vehicle charging station with multiple alternating current power supply ports and multiple direct current buses,"LI JIN 
JIAO NANA 
FAN YUSHUN 
DANG ENSHUAI",UNIV SHANGHAI ELECTRIC POWER,CN113428028A,2021-07-20,"['B60L53/30', 'B60L53/60']","['B60L53/30 (CN)', 'B60L53/60 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)']",2021-09-24,2021-09-24,77761088,2021-09-24,,CN113428028A,,CN,,2021,2021,,['CN'],['CN113428028A']
427,Electric automobile battery system structure,"YAN LI [CN] 
YAN LI","CHERY AUTOMOBILE CO LTD [CN] 
CHERY AUTOMOBILE CO LTD","CN101570147A 
CN101570147B",2009-06-01,"['B60L11/18', 'B60W10/00', 'B60W10/26', 'B60W10/28', 'H01M10/00', 'H01M10/42']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']","2009-11-04 
2011-05-11",2009-11-04,41229669,2009-11-04,2011-05-11,CN101570147A,"
CN101570147B",CN,"
",2009,2009,CN,['CN'],"['CN101570147A', 'CN101570147B']"
428,Fire extinguishing system with electric sprayer for charging and discharging facilities of electric vehicle,"QIAN ZENGZHI 
OU HIROSHI 
ZHOU DAXING 
LI TAISHENG 
ZHENG XIAOYAN 
ZHANG YAQI 
ZHANG LEI 
YIN BINGSHUAI 
GUO WEI",CHINA RAILWAY CONSTR GROUP CO,CN114191746A,2021-11-17,"['A62C3/07', 'A62C3/16', 'A62C31/00', 'A62C31/28', 'A62C37/40', 'F24F11/89', 'F24F7/08', 'G08B17/06', 'G08B17/10', 'G08B17/12']","['A62C3/07 (CN)', 'A62C3/16 (CN)', 'A62C31/005 (CN)', 'A62C31/28 (CN)', 'A62C37/40 (CN)', 'F24F7/08 (CN)', 'G08B17/06 (CN)', 'G08B17/10 (CN)', 'G08B17/125 (CN)', 'A62C99/0072 (CN)', 'F24F2007/001 (CN)', 'Y02B30/70 (EP)', 'Y02T90/167 (EP)', 'Y04S30/12 (EP)']",2022-03-18,2022-03-18,80647908,2022-03-18,,CN114191746A,,CN,,2022,2021,,['CN'],['CN114191746A']
429,Environment-friendly and high-efficiency hybrid electric vehicle,QIU DI,"RUILAI INT DEVELOPMENT CO LTD 
QIU DI",CN110745016A,2018-07-20,"['B60L53/14', 'C10L1/02', 'C10L1/182', 'C10L1/188', 'C10L1/198', 'C10L1/222', 'C10L1/232']","['C10L1/02 (CN)', 'C10L1/143 (CN)', 'C10L1/1824 (CN)', 'C10L1/188 (CN)', 'C10L1/1983 (CN)', 'C10L1/2225 (CN)', 'C10L1/232 (CN)', 'C10L2230/22 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",2020-02-04,2020-02-04,69274871,2020-02-04,,CN110745016A,,CN,,2020,2018,,['CN'],['CN110745016A']
430,New energy automobile charging pile,"YI WANGJIN 
HU HONGDI 
ZHANG CUIJUN 
WANG ZIQIAN",SHENZHEN EVEREST INT NEW ENERGY CO LTD,CN214396461U,2020-08-26,"['B60L53/302', 'B60L53/31', 'B60L53/51', 'B60L53/53', 'B60L53/60', 'B60L53/68', 'G07F15/00', 'H02J7/00']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)']",2021-10-15,2021-10-15,78017650,2021-10-15,,CN214396461U,,CN,,2021,2020,,['CN'],['CN214396461U']
431,ENERGY CONTROL METHOD FOR HYBRID BUS USING HYDROGEN FUEL BATTERY AND POWER BATTERY,"YANG KUN [CN] 
XU BIN [CN] 
DONG DEBAO [CN] 
FAN HAIMEI [CN] 
XIONG JINFENG [CN] 
LI CHUN [CN]",HIGER BUS CO LTD [CN],"US12194888B2 
US2022250509A1",2019-12-16,"['B60L50/75', 'B60L58/13', 'B60L58/16', 'B60L58/30']","['B60L50/75 (EP,US)', 'B60L58/12 (EP,CN)', 'B60L58/13 (EP,US)', 'B60L58/16 (EP,CN,US)', 'B60L58/30 (CN,US)', 'B60L58/40 (EP,CN)', 'B60L2220/42 (EP)', 'B60L2240/547 (EP)', 'B60L2240/549 (EP)', 'B60L2260/52 (US)', 'B60L2260/54 (EP,US)']","2022-08-11 
2025-01-14",2020-04-24,70300925,2022-08-11,2025-01-14,US12194888B2,"
US2022250509A1",US,"
",2022,2019,CN,"['CN', 'US', 'WO']","['CN111055728A', 'CN111055728B', 'US12194888B2', 'US2022250509A1', 'WO2021120798A1']"
432,Fuel cell energy management system of hydrogen energy automobile,"ZHENCHANGCHENLONG 
WEI YUEHUI 
FAN HUAMING 
ZHANG YONGBO",JIANGSU XINGBANG ENERGY TECH CO LTD,CN113675434A,2021-08-10,"['H01M8/04082', 'H01M8/04089', 'H01M8/04858', 'H01M8/04955']","['H01M8/04089 (CN)', 'H01M8/04201 (CN)', 'H01M8/0488 (CN)', 'H01M8/0494 (CN)', 'H01M8/04955 (CN)', 'H01M2250/20 (CN)', 'Y02E60/50 (EP)']",2021-11-19,2021-11-19,78542057,2021-11-19,,CN113675434A,,CN,,2021,2021,,['CN'],['CN113675434A']
433,Hydrogen fuel 800V high-pressure system and power-on control method,"XU KAI 
WEI BO 
LI BO 
WU MINGLIAO 
SHA KUN 
ZHAO YANG",GUANGZHOU HAIPOTE TECH CO LTD,CN118977621A,2024-09-03,"['B60L1/00', 'B60L58/40']","['B60L1/00 (CN)', 'B60L58/40 (CN)', 'B60L2210/10 (CN)']",2024-11-19,2024-11-19,93449522,2024-11-19,,CN118977621A,,CN,,2024,2024,,['CN'],['CN118977621A']
434,Endurance system and method of electric vehicle,SHE PEILIANG,JIANGSU EIMA VEHICLE INDUSTRY SCIENCE AND TECH LIMITED COMPANY,CN114228514A,2021-12-16,"['B60L50/60', 'B60L53/00', 'B60L58/12']","['B60L50/60 (CN)', 'B60L50/66 (CN)', 'B60L53/00 (CN)', 'B60L58/12 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",2022-03-25,2022-03-25,80756898,2022-03-25,,CN114228514A,,CN,,2022,2021,,['CN'],['CN114228514A']
435,"Energy recovery device, weighing device and intelligent picking vehicle","CAO DAN 
ZENG XU 
LIU XIA 
WANG HUI 
GU YAO",ZHEJIANG VEGETABLE BIRD SUPPLY CHAIN MAN LIMITED COMPANY,CN216436863U,2021-06-30,"['G01G19/393', 'H02J7/14']",['unkown)'],2022-05-03,2022-05-03,81315481,2022-05-03,,CN216436863U,,CN,,2022,2021,,['CN'],['CN216436863U']
436,Electric automobile supporting gesture control,"XIANG HUA 
LI WENXIA",GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,CN108248406A,2016-12-28,"['B60L11/18', 'B60L8/00', 'B60R16/037', 'G06F3/01']","['B60L50/72 (CN)', 'B60L58/30 (CN)', 'B60L8/003 (CN)', 'B60L8/006 (CN)', 'B60R16/037 (CN)', 'B60R16/0373 (CN)', 'G06F3/017 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/40 (EP)']",2018-07-06,2018-07-06,62720471,2018-07-06,,CN108248406A,,CN,,2018,2016,,['CN'],['CN108248406A']
437,Energy management method and system for hydrogen fuel hybrid power heavy truck,"HU DOUDOU 
YANG ZHICHAO 
ZHANG JIA'NAN",LARGE TRANSP AUTOMOBILE STOCK LIMITED COMPANY,"CN114290916A 
CN114290916B",2022-01-05,"['B60L50/75', 'B60L58/40']","['Y02T10/70 (EP)', 'Y02T90/40 (EP)']","2022-04-08 
2023-11-03",2022-04-08,80975562,2022-04-08,2023-11-03,CN114290916A,"
CN114290916B",CN,"
",2022,2022,,['CN'],"['CN114290916A', 'CN114290916B']"
438,FUEL CELL SYSTEM OF ELECTRIC VEHICLE,"TAKEI RIKI 
MIZUSHITA YOSHINORI 
HIRAMITSU YUSUKE",MITSUBISHI MOTORS CORP,JP2019145260A,2018-02-19,"['B60L3/00', 'B60L50/40', 'B60L50/50', 'B60L53/00', 'B60L55/00', 'B60L58/00', 'H01M8/00', 'H01M8/04', 'H01M8/04303', 'H01M8/0438', 'H01M8/04537', 'H01M8/04746']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",2019-08-29,2019-08-29,67772533,2019-08-29,,JP2019145260A,,JP,,2019,2018,,['JP'],['JP2019145260A']
439,"Nonaqueous electrolyte battery, battery pack, electronic device, and electric vehicle","ODANI TORU 
KUBOTA TADAHIKO",SONY CORP,"CN102820483A 
CN102820483B",2011-06-07,"['H01M10/05', 'H01M10/0525', 'H01M10/0567', 'H01M10/0568', 'H01M50/417', 'H01M50/434', 'H01M50/451']","['H01M10/05 (CN)', 'H01M10/052 (EP,US)', 'H01M10/0525 (CN)', 'H01M10/0567 (EP,CN,US)', 'H01M10/0568 (EP,CN,US)', 'H01M4/134 (EP,CN,US)', 'H01M50/417 (EP,CN,US)', 'H01M50/434 (EP,CN,US)', 'H01M50/451 (EP,CN,US)', 'H01M2220/20 (CN)', 'Y02E60/10 (EP,US)', 'Y02P70/50 (EP)', 'Y02T10/70 (US)']","2012-12-12 
2017-06-09",2012-12-12,47293839,2012-12-12,2017-06-09,CN102820483A,"
CN102820483B",CN,"
",2012,2011,,"['CN', 'JP', 'US']","['CN102820483A', 'CN102820483B', 'CN107394253A', 'CN107394253B', 'JP2013016456A', 'JP6065367B2', 'US2012316716A1', 'US8986880B2']"
440,Electric automobile power battery organizes temperature control system,XIANG HUA,GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,CN205488417U,2016-03-02,"['H01M10/615', 'H01M10/625', 'H01M10/6561']",['Y02E60/10 (EP)'],2016-08-17,2016-08-17,56659139,2016-08-17,,CN205488417U,,CN,,2016,2016,,['CN'],['CN205488417U']
441,"Hydrogen storage alloy, nickel-hydrogen storage battery, and method for manufacturing hydrogen storage alloy","MASAHIRO IEGUCHI 
KAZUHIRO OKAWA 
TAKESHI YAO",PRIMEARTH EV ENERGY CO LTD,"CN104979537A 
CN104979537B",2014-04-11,"['C22C19/03', 'C22C30/00', 'H01M10/30', 'H01M4/38']","['C22C19/03 (CN)', 'C22C30/00 (CN)', 'H01M10/30 (CN)', 'H01M4/385 (CN)', 'Y02E60/10 (EP)']","2015-10-14 
2018-04-10",2015-10-14,54275834,2015-10-14,2018-04-10,CN104979537A,"
CN104979537B",CN,"
",2015,2014,,"['CN', 'JP']","['CN104979537A', 'CN104979537B', 'JP2015203119A']"
442,Integrated hydrogen fuel power supply device for hydrogen fuel electric vehicle,"ZHENG XIANGYANG 
LI JIANGTAO",JINHUA COORDINATE IND DESIGN CO LTD,CN221393060U,2024-01-11,"['B60L50/70', 'B62J43/16', 'B62J50/30']",['unkown)'],2024-07-23,2024-07-23,91943367,2024-07-23,,CN221393060U,,CN,,2024,2024,,['CN'],['CN221393060U']
443,Vehicle hybrid energy storage system based on lithium battery life prediction,"LI JIANWEI 
HE HONGWEN 
WANG WEI 
WANG XUECHAO 
YI FENGYAN 
CEN WEI 
LI HE",BEIJING INSTITUTE TECH,"CN112757921A 
CN112757921B",2020-12-24,"['B60L50/75', 'B60L58/10', 'B60L58/13', 'B60T13/52', 'H01M8/04082']","['B60L50/75 (CN)', 'B60L58/10 (CN)', 'B60L58/13 (CN)', 'B60T13/52 (CN)', 'H01M8/04201 (CN)', 'B60L2240/54 (CN)', 'B60L2240/545 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']","2021-05-07 
2022-04-15",2021-05-07,75694326,2021-05-07,2022-04-15,CN112757921A,"
CN112757921B",CN,"
",2021,2020,,['CN'],"['CN112757921A', 'CN112757921B']"
444,ELECTRIC VEHICULAR POWER SUPPLY APPARATUS,"HIRAMITSU YUSUKE 
TASHIRO KEISUKE 
NAKANE KAZUYOSHI 
ICHIKAWA KOJI","MITSUBISHI MOTORS CORP 
MITSUBISHI AUTO ENG","JP2018153022A 
JP6926548B2",2017-03-14,"['B60L11/18', 'B60L3/00', 'H01M10/48', 'H01M8/00', 'H01M8/04858', 'H02J7/00', 'B60L50/75', 'B60L58/13', 'B60L58/40']","['Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']","2018-09-27 
2021-08-25",2018-09-27,63681887,2018-09-27,2021-08-25,JP2018153022A,"
JP6926548B2",JP,"
",2018,2017,,['JP'],"['JP2018153022A', 'JP6926548B2']"
445,Starting control method for hydrogen fuel cell automobile,"CHEN ZURONG 
YANG KAI 
DAI NENGHONG 
JIANG LONG 
LIAO LONGJIE 
LIU XU 
WAN XINGYU 
DENG NINGCHEN 
HU DAKE","NANJING AUTOMOBILE GROUP CORP 
NANJING BRANCH COMPANY SAIC MAXUS AUTOMOBILE CO LTD",CN119116785A,2024-08-29,"['B60L58/10', 'B60L58/30', 'B60L58/31']","['B60L58/10 (CN)', 'B60L58/30 (CN)', 'B60L58/31 (CN)', 'B60L2240/40 (CN)', 'B60L2240/54 (CN)']",2024-12-13,2024-12-13,93751256,2024-12-13,,CN119116785A,,CN,,2024,2024,,['CN'],['CN119116785A']
446,Charging energy system,"YU HAO 
JIANG WEI",GAC EAN NEW ENERGY AUTOMOBILE CO LTD,CN218940693U,2022-10-31,"['H02J3/28', 'H02J3/32', 'H02J3/46']",['Y02T10/70 (EP)'],2023-04-28,2023-04-28,86081456,2023-04-28,,CN218940693U,,CN,,2023,2022,,['CN'],['CN218940693U']
447,"Power-on control method, system and equipment for hydrogen fuel cell vehicle and storage medium","ZHANG NING 
XU YUAN 
YANG XINGMING 
LI LEYI 
WANG JINYUAN 
LI LIYUAN 
JIA YUBO 
PENG KAI",DONGFENG AUTOMOBILE CO LTD,CN115649014A,2022-11-16,"['B60L58/30', 'B60L58/31']",['Y02T90/40 (EP)'],2023-01-31,2023-01-31,85017177,2023-01-31,,CN115649014A,,CN,,2023,2022,,['CN'],['CN115649014A']
448,Vehicle-mounted liquid hydrogen vaporization mechanism and vehicle,"HAN MUHAO 
LIU XINHAI",RUGUO TECH CO LTD,CN217881582U,2022-08-19,"['B60L50/70', 'H01M8/04007', 'H01M8/04029', 'H01M8/04089']",['Y02E60/50 (EP)'],2022-11-22,2022-11-22,84077238,2022-11-22,,CN217881582U,,CN,,2022,2022,,['CN'],['CN217881582U']
